Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Kawhi Leonard (14334550),Kawhi Leonard,14334550,CPT,15600,SAC@LAC 02/22/2020 03:30PM ET,LAC,49.51
SF,Paul George (14334551),Paul George,14334551,CPT,14100,SAC@LAC 02/22/2020 03:30PM ET,LAC,39.27
PG,De'Aaron Fox (14334552),De'Aaron Fox,14334552,CPT,13200,SAC@LAC 02/22/2020 03:30PM ET,SAC,38.57
PG/SG,Lou Williams (14334553),Lou Williams,14334553,CPT,12300,SAC@LAC 02/22/2020 03:30PM ET,LAC,33.45
SG/SF,Buddy Hield (14334554),Buddy Hield,14334554,CPT,11400,SAC@LAC 02/22/2020 03:30PM ET,SAC,34.64
C,Marvin Bagley III (14334555),Marvin Bagley III,14334555,CPT,11100,SAC@LAC 02/22/2020 03:30PM ET,SAC,27.29
PG,Reggie Jackson (14334556),Reggie Jackson,14334556,CPT,10500,SAC@LAC 02/22/2020 03:30PM ET,LAC,27.98
SF,Kawhi Leonard (14334517),Kawhi Leonard,14334517,UTIL,10400,SAC@LAC 02/22/2020 03:30PM ET,LAC,49.51
PF,Nemanja Bjelica (14334557),Nemanja Bjelica,14334557,CPT,10200,SAC@LAC 02/22/2020 03:30PM ET,SAC,27.77
C,Richaun Holmes (14334558),Richaun Holmes,14334558,CPT,9900,SAC@LAC 02/22/2020 03:30PM ET,SAC,30.01
SF/PF,Harrison Barnes (14334559),Harrison Barnes,14334559,CPT,9600,SAC@LAC 02/22/2020 03:30PM ET,SAC,25.73
SF,Paul George (14334518),Paul George,14334518,UTIL,9400,SAC@LAC 02/22/2020 03:30PM ET,LAC,39.27
PG,De'Aaron Fox (14334519),De'Aaron Fox,14334519,UTIL,8800,SAC@LAC 02/22/2020 03:30PM ET,SAC,38.57
SF/PF,Marcus Morris Sr. (14334560),Marcus Morris Sr.,14334560,CPT,8700,SAC@LAC 02/22/2020 03:30PM ET,LAC,30.94
C,Montrezl Harrell (14334561),Montrezl Harrell,14334561,CPT,8400,SAC@LAC 02/22/2020 03:30PM ET,LAC,33.17
PG/SG,Lou Williams (14334520),Lou Williams,14334520,UTIL,8200,SAC@LAC 02/22/2020 03:30PM ET,LAC,33.45
SG/SF,Bogdan Bogdanovic (14334562),Bogdan Bogdanovic,14334562,CPT,8100,SAC@LAC 02/22/2020 03:30PM ET,SAC,25.68
SG/SF,Buddy Hield (14334521),Buddy Hield,14334521,UTIL,7600,SAC@LAC 02/22/2020 03:30PM ET,SAC,34.64
SG/SF,Landry Shamet (14334563),Landry Shamet,14334563,CPT,7500,SAC@LAC 02/22/2020 03:30PM ET,LAC,18.02
C,Marvin Bagley III (14334522),Marvin Bagley III,14334522,UTIL,7400,SAC@LAC 02/22/2020 03:30PM ET,SAC,27.29
PG,Reggie Jackson (14334523),Reggie Jackson,14334523,UTIL,7000,SAC@LAC 02/22/2020 03:30PM ET,LAC,27.98
PF,Nemanja Bjelica (14334524),Nemanja Bjelica,14334524,UTIL,6800,SAC@LAC 02/22/2020 03:30PM ET,SAC,27.77
C,Richaun Holmes (14334525),Richaun Holmes,14334525,UTIL,6600,SAC@LAC 02/22/2020 03:30PM ET,SAC,30.01
C,Ivica Zubac (14334564),Ivica Zubac,14334564,CPT,6600,SAC@LAC 02/22/2020 03:30PM ET,LAC,20.55
SF/PF,Harrison Barnes (14334526),Harrison Barnes,14334526,UTIL,6400,SAC@LAC 02/22/2020 03:30PM ET,SAC,25.73
C,Alex Len (14334565),Alex Len,14334565,CPT,6300,SAC@LAC 02/22/2020 03:30PM ET,SAC,20.12
PG,Patrick Beverley (14334566),Patrick Beverley,14334566,CPT,6000,SAC@LAC 02/22/2020 03:30PM ET,LAC,25.61
SF/PF,Marcus Morris Sr. (14334527),Marcus Morris Sr.,14334527,UTIL,5800,SAC@LAC 02/22/2020 03:30PM ET,LAC,30.94
SG/SF,Kent Bazemore (14334567),Kent Bazemore,14334567,CPT,5700,SAC@LAC 02/22/2020 03:30PM ET,SAC,18.49
C,Montrezl Harrell (14334528),Montrezl Harrell,14334528,UTIL,5600,SAC@LAC 02/22/2020 03:30PM ET,LAC,33.17
SG/SF,Bogdan Bogdanovic (14334529),Bogdan Bogdanovic,14334529,UTIL,5400,SAC@LAC 02/22/2020 03:30PM ET,SAC,25.68
PF,Jabari Parker (14334568),Jabari Parker,14334568,CPT,5400,SAC@LAC 02/22/2020 03:30PM ET,SAC,27.89
SG/SF,Landry Shamet (14334530),Landry Shamet,14334530,UTIL,5000,SAC@LAC 02/22/2020 03:30PM ET,LAC,18.02
C,Ivica Zubac (14334531),Ivica Zubac,14334531,UTIL,4400,SAC@LAC 02/22/2020 03:30PM ET,LAC,20.55
C,Alex Len (14334532),Alex Len,14334532,UTIL,4200,SAC@LAC 02/22/2020 03:30PM ET,SAC,20.12
C,Harry Giles III (14334569),Harry Giles III,14334569,CPT,4200,SAC@LAC 02/22/2020 03:30PM ET,SAC,12.95
PG,Patrick Beverley (14334533),Patrick Beverley,14334533,UTIL,4000,SAC@LAC 02/22/2020 03:30PM ET,LAC,25.61
SG/SF,Kent Bazemore (14334534),Kent Bazemore,14334534,UTIL,3800,SAC@LAC 02/22/2020 03:30PM ET,SAC,18.49
PF,Jabari Parker (14334535),Jabari Parker,14334535,UTIL,3600,SAC@LAC 02/22/2020 03:30PM ET,SAC,27.89
PG,Cory Joseph (14334570),Cory Joseph,14334570,CPT,3600,SAC@LAC 02/22/2020 03:30PM ET,SAC,16.70
PF,JaMychal Green (14334571),JaMychal Green,14334571,CPT,3000,SAC@LAC 02/22/2020 03:30PM ET,LAC,17.65
C,Harry Giles III (14334536),Harry Giles III,14334536,UTIL,2800,SAC@LAC 02/22/2020 03:30PM ET,SAC,12.95
C,Mfiondu Kabengele (14334572),Mfiondu Kabengele,14334572,CPT,2700,SAC@LAC 02/22/2020 03:30PM ET,LAC,5.85
PG,Cory Joseph (14334537),Cory Joseph,14334537,UTIL,2400,SAC@LAC 02/22/2020 03:30PM ET,SAC,16.70
PF/C,Anthony Tolliver (14334573),Anthony Tolliver,14334573,CPT,2400,SAC@LAC 02/22/2020 03:30PM ET,SAC,9.20
SG/SF,Rodney McGruder (14334574),Rodney McGruder,14334574,CPT,2100,SAC@LAC 02/22/2020 03:30PM ET,LAC,9.34
PF,JaMychal Green (14334538),JaMychal Green,14334538,UTIL,2000,SAC@LAC 02/22/2020 03:30PM ET,LAC,17.65
C,Mfiondu Kabengele (14334539),Mfiondu Kabengele,14334539,UTIL,1800,SAC@LAC 02/22/2020 03:30PM ET,LAC,5.85
PF/C,Patrick Patterson (14334575),Patrick Patterson,14334575,CPT,1800,SAC@LAC 02/22/2020 03:30PM ET,LAC,9.87
PF/C,Anthony Tolliver (14334540),Anthony Tolliver,14334540,UTIL,1600,SAC@LAC 02/22/2020 03:30PM ET,SAC,9.20
PG/SG,Yogi Ferrell (14334576),Yogi Ferrell,14334576,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,SAC,8.57
PG/SF,Amir Coffey (14334577),Amir Coffey,14334577,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,LAC,5.96
SG/SF,Justin James (14334578),Justin James,14334578,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,SAC,5.73
SG,DaQuan Jeffries (14334579),DaQuan Jeffries,14334579,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,SAC,2.04
C,Johnathan Motley (14334580),Johnathan Motley,14334580,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,LAC,4.35
PG,Kyle Guy (14334581),Kyle Guy,14334581,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,SAC,1
PG/SG,Terance Mann (14334582),Terance Mann,14334582,CPT,1500,SAC@LAC 02/22/2020 03:30PM ET,LAC,5.30
SG/SF,Rodney McGruder (14334541),Rodney McGruder,14334541,UTIL,1400,SAC@LAC 02/22/2020 03:30PM ET,LAC,9.34
PF/C,Patrick Patterson (14334542),Patrick Patterson,14334542,UTIL,1200,SAC@LAC 02/22/2020 03:30PM ET,LAC,9.87
PG/SG,Yogi Ferrell (14334543),Yogi Ferrell,14334543,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,SAC,8.57
PG/SF,Amir Coffey (14334544),Amir Coffey,14334544,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,LAC,5.96
SG/SF,Justin James (14334545),Justin James,14334545,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,SAC,5.73
SG,DaQuan Jeffries (14334546),DaQuan Jeffries,14334546,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,SAC,2.04
C,Johnathan Motley (14334547),Johnathan Motley,14334547,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,LAC,4.35
PG,Kyle Guy (14334548),Kyle Guy,14334548,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,SAC,1
PG/SG,Terance Mann (14334549),Terance Mann,14334549,UTIL,1000,SAC@LAC 02/22/2020 03:30PM ET,LAC,5.30
