Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (13784217),Luka Doncic,13784217,CPT,17700,SA@DAL 11/18/2019 08:30PM ET,DAL,59.75
PF,Kristaps Porzingis (13784218),Kristaps Porzingis,13784218,CPT,15600,SA@DAL 11/18/2019 08:30PM ET,DAL,37.89
PF,LaMarcus Aldridge (13784219),LaMarcus Aldridge,13784219,CPT,14400,SA@DAL 11/18/2019 08:30PM ET,SA,34.54
SG,DeMar DeRozan (13784220),DeMar DeRozan,13784220,CPT,14100,SA@DAL 11/18/2019 08:30PM ET,SA,34.67
PG,Dejounte Murray (13784221),Dejounte Murray,13784221,CPT,12300,SA@DAL 11/18/2019 08:30PM ET,SA,29.68
PG,Luka Doncic (13784183),Luka Doncic,13784183,UTIL,11800,SA@DAL 11/18/2019 08:30PM ET,DAL,59.75
PG,Derrick White (13784222),Derrick White,13784222,CPT,11400,SA@DAL 11/18/2019 08:30PM ET,SA,20.85
PF,Kristaps Porzingis (13784184),Kristaps Porzingis,13784184,UTIL,10400,SA@DAL 11/18/2019 08:30PM ET,DAL,37.89
SF,Rudy Gay (13784223),Rudy Gay,13784223,CPT,10200,SA@DAL 11/18/2019 08:30PM ET,SA,24.38
PF,LaMarcus Aldridge (13784185),LaMarcus Aldridge,13784185,UTIL,9600,SA@DAL 11/18/2019 08:30PM ET,SA,34.54
SG,DeMar DeRozan (13784186),DeMar DeRozan,13784186,UTIL,9400,SA@DAL 11/18/2019 08:30PM ET,SA,34.67
PF,Dwight Powell (13784224),Dwight Powell,13784224,CPT,9000,SA@DAL 11/18/2019 08:30PM ET,DAL,18.06
PG,Bryn Forbes (13784225),Bryn Forbes,13784225,CPT,8400,SA@DAL 11/18/2019 08:30PM ET,SA,21.56
PG,Dejounte Murray (13784187),Dejounte Murray,13784187,UTIL,8200,SA@DAL 11/18/2019 08:30PM ET,SA,29.68
PG,Patty Mills (13784226),Patty Mills,13784226,CPT,7800,SA@DAL 11/18/2019 08:30PM ET,SA,19.23
PG,Derrick White (13784188),Derrick White,13784188,UTIL,7600,SA@DAL 11/18/2019 08:30PM ET,SA,20.85
C,Maxi Kleber (13784227),Maxi Kleber,13784227,CPT,7500,SA@DAL 11/18/2019 08:30PM ET,DAL,21.75
PG,Delon Wright (13784228),Delon Wright,13784228,CPT,6900,SA@DAL 11/18/2019 08:30PM ET,DAL,20.88
SF,Rudy Gay (13784189),Rudy Gay,13784189,UTIL,6800,SA@DAL 11/18/2019 08:30PM ET,SA,24.38
PG,Seth Curry (13784229),Seth Curry,13784229,CPT,6600,SA@DAL 11/18/2019 08:30PM ET,DAL,14.54
C,Jakob Poeltl (13784230),Jakob Poeltl,13784230,CPT,6300,SA@DAL 11/18/2019 08:30PM ET,SA,15.15
PF,Dwight Powell (13784190),Dwight Powell,13784190,UTIL,6000,SA@DAL 11/18/2019 08:30PM ET,DAL,18.06
SF,Dorian Finney-Smith (13784231),Dorian Finney-Smith,13784231,CPT,6000,SA@DAL 11/18/2019 08:30PM ET,DAL,17.48
PF,Trey Lyles (13784232),Trey Lyles,13784232,CPT,5700,SA@DAL 11/18/2019 08:30PM ET,SA,17.60
PG,Bryn Forbes (13784191),Bryn Forbes,13784191,UTIL,5600,SA@DAL 11/18/2019 08:30PM ET,SA,21.56
SG,Tim Hardaway Jr. (13784233),Tim Hardaway Jr.,13784233,CPT,5400,SA@DAL 11/18/2019 08:30PM ET,DAL,17.33
