Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Jimmy Butler (14136533),Jimmy Butler,14136533,CPT,16200,SA@MIA 01/15/2020 07:30PM ET,MIA,43.85
C,Bam Adebayo (14136534),Bam Adebayo,14136534,CPT,15900,SA@MIA 01/15/2020 07:30PM ET,MIA,40.08
SG/SF,DeMar DeRozan (14136535),DeMar DeRozan,14136535,CPT,15300,SA@MIA 01/15/2020 07:30PM ET,SA,38.16
PF/C,LaMarcus Aldridge (14136536),LaMarcus Aldridge,14136536,CPT,13500,SA@MIA 01/15/2020 07:30PM ET,SA,37.28
PG,Goran Dragic (14136537),Goran Dragic,14136537,CPT,12300,SA@MIA 01/15/2020 07:30PM ET,MIA,28.34
PG,Dejounte Murray (14136538),Dejounte Murray,14136538,CPT,11400,SA@MIA 01/15/2020 07:30PM ET,SA,27
SG/SF,Jimmy Butler (14136500),Jimmy Butler,14136500,UTIL,10800,SA@MIA 01/15/2020 07:30PM ET,MIA,43.85
PG/SG,Kendrick Nunn (14136539),Kendrick Nunn,14136539,CPT,10800,SA@MIA 01/15/2020 07:30PM ET,MIA,26.42
C,Bam Adebayo (14136501),Bam Adebayo,14136501,UTIL,10600,SA@MIA 01/15/2020 07:30PM ET,MIA,40.08
SG/SF,DeMar DeRozan (14136502),DeMar DeRozan,14136502,UTIL,10200,SA@MIA 01/15/2020 07:30PM ET,SA,38.16
SG,Tyler Herro (14136540),Tyler Herro,14136540,CPT,9600,SA@MIA 01/15/2020 07:30PM ET,MIA,23.68
PF/C,LaMarcus Aldridge (14136503),LaMarcus Aldridge,14136503,UTIL,9000,SA@MIA 01/15/2020 07:30PM ET,SA,37.28
SF/PF,Rudy Gay (14136541),Rudy Gay,14136541,CPT,8400,SA@MIA 01/15/2020 07:30PM ET,SA,23.10
PG,Goran Dragic (14136504),Goran Dragic,14136504,UTIL,8200,SA@MIA 01/15/2020 07:30PM ET,MIA,28.34
SF/PF,Derrick Jones Jr. (14136542),Derrick Jones Jr.,14136542,CPT,7800,SA@MIA 01/15/2020 07:30PM ET,MIA,18.7
PG,Dejounte Murray (14136505),Dejounte Murray,14136505,UTIL,7600,SA@MIA 01/15/2020 07:30PM ET,SA,27
PG/SF,Justise Winslow (14136543),Justise Winslow,14136543,CPT,7500,SA@MIA 01/15/2020 07:30PM ET,MIA,27.25
PG/SG,Kendrick Nunn (14136506),Kendrick Nunn,14136506,UTIL,7200,SA@MIA 01/15/2020 07:30PM ET,MIA,26.42
SG/SF,Duncan Robinson (14136544),Duncan Robinson,14136544,CPT,7200,SA@MIA 01/15/2020 07:30PM ET,MIA,20.26
PF/C,Meyers Leonard (14136545),Meyers Leonard,14136545,CPT,6900,SA@MIA 01/15/2020 07:30PM ET,MIA,15.24
PG/SG,Derrick White (14136546),Derrick White,14136546,CPT,6600,SA@MIA 01/15/2020 07:30PM ET,SA,20.27
SG,Tyler Herro (14136507),Tyler Herro,14136507,UTIL,6400,SA@MIA 01/15/2020 07:30PM ET,MIA,23.68
PG/SG,Patty Mills (14136547),Patty Mills,14136547,CPT,6300,SA@MIA 01/15/2020 07:30PM ET,SA,19.07
PG/SG,Bryn Forbes (14136548),Bryn Forbes,14136548,CPT,6000,SA@MIA 01/15/2020 07:30PM ET,SA,18.85
SF/PF,Rudy Gay (14136508),Rudy Gay,14136508,UTIL,5600,SA@MIA 01/15/2020 07:30PM ET,SA,23.10
PF/C,James Johnson (14136549),James Johnson,14136549,CPT,5400,SA@MIA 01/15/2020 07:30PM ET,MIA,12.89
SF/PF,Derrick Jones Jr. (14136509),Derrick Jones Jr.,14136509,UTIL,5200,SA@MIA 01/15/2020 07:30PM ET,MIA,18.7
PG/SF,Justise Winslow (14136510),Justise Winslow,14136510,UTIL,5000,SA@MIA 01/15/2020 07:30PM ET,MIA,27.25
SG/SF,Duncan Robinson (14136511),Duncan Robinson,14136511,UTIL,4800,SA@MIA 01/15/2020 07:30PM ET,MIA,20.26
PF/C,Meyers Leonard (14136512),Meyers Leonard,14136512,UTIL,4600,SA@MIA 01/15/2020 07:30PM ET,MIA,15.24
C,Jakob Poeltl (14136550),Jakob Poeltl,14136550,CPT,4500,SA@MIA 01/15/2020 07:30PM ET,SA,18.54
PG/SG,Derrick White (14136513),Derrick White,14136513,UTIL,4400,SA@MIA 01/15/2020 07:30PM ET,SA,20.27
PG/SG,Patty Mills (14136514),Patty Mills,14136514,UTIL,4200,SA@MIA 01/15/2020 07:30PM ET,SA,19.07
SG/SF,Lonnie Walker IV (14136551),Lonnie Walker IV,14136551,CPT,4200,SA@MIA 01/15/2020 07:30PM ET,SA,10.08
PG/SG,Bryn Forbes (14136515),Bryn Forbes,14136515,UTIL,4000,SA@MIA 01/15/2020 07:30PM ET,SA,18.85
PF/C,James Johnson (14136516),James Johnson,14136516,UTIL,3600,SA@MIA 01/15/2020 07:30PM ET,MIA,12.89
C,Jakob Poeltl (14136517),Jakob Poeltl,14136517,UTIL,3000,SA@MIA 01/15/2020 07:30PM ET,SA,18.54
PF/C,Trey Lyles (14136552),Trey Lyles,14136552,CPT,3000,SA@MIA 01/15/2020 07:30PM ET,SA,14.94
SG/SF,Lonnie Walker IV (14136518),Lonnie Walker IV,14136518,UTIL,2800,SA@MIA 01/15/2020 07:30PM ET,SA,10.08
SG/SF,Marco Belinelli (14136553),Marco Belinelli,14136553,CPT,2100,SA@MIA 01/15/2020 07:30PM ET,SA,9.98
PF/C,Trey Lyles (14136519),Trey Lyles,14136519,UTIL,2000,SA@MIA 01/15/2020 07:30PM ET,SA,14.94
PF/C,Kelly Olynyk (14136554),Kelly Olynyk,14136554,CPT,1800,SA@MIA 01/15/2020 07:30PM ET,MIA,17.35
SG/SF,Keldon Johnson (14136555),Keldon Johnson,14136555,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,SA,2.25
PF/C,Chimezie Metu (14136556),Chimezie Metu,14136556,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,SA,5.75
SF,DeMarre Carroll (14136557),DeMarre Carroll,14136557,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,SA,6.18
PF/C,Drew Eubanks (14136558),Drew Eubanks,14136558,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,SA,6.29
SG,Chris Silva (14136559),Chris Silva,14136559,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,MIA,8.95
SF/PF,KZ Okpala (14136560),KZ Okpala,14136560,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,MIA,0.25
SG/SF,Dion Waiters (14136561),Dion Waiters,14136561,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,MIA,0
SF/PF,Luka Samanic (14136562),Luka Samanic,14136562,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,SA,0
PF,Udonis Haslem (14136563),Udonis Haslem,14136563,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,MIA,4.38
SG,Quinndary Weatherspoon (14136564),Quinndary Weatherspoon,14136564,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,SA,0
PG/SG,Gabe Vincent (14136565),Gabe Vincent,14136565,CPT,1500,SA@MIA 01/15/2020 07:30PM ET,MIA,0
SG/SF,Marco Belinelli (14136520),Marco Belinelli,14136520,UTIL,1400,SA@MIA 01/15/2020 07:30PM ET,SA,9.98
PF/C,Kelly Olynyk (14136521),Kelly Olynyk,14136521,UTIL,1200,SA@MIA 01/15/2020 07:30PM ET,MIA,17.35
SG/SF,Keldon Johnson (14136522),Keldon Johnson,14136522,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,SA,2.25
PF/C,Chimezie Metu (14136523),Chimezie Metu,14136523,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,SA,5.75
SF,DeMarre Carroll (14136524),DeMarre Carroll,14136524,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,SA,6.18
PF/C,Drew Eubanks (14136525),Drew Eubanks,14136525,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,SA,6.29
SG,Chris Silva (14136526),Chris Silva,14136526,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,MIA,8.95
SF/PF,KZ Okpala (14136527),KZ Okpala,14136527,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,MIA,0.25
SG/SF,Dion Waiters (14136528),Dion Waiters,14136528,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,MIA,0
SF/PF,Luka Samanic (14136529),Luka Samanic,14136529,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,SA,0
PF,Udonis Haslem (14136530),Udonis Haslem,14136530,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,MIA,4.38
SG,Quinndary Weatherspoon (14136531),Quinndary Weatherspoon,14136531,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,SA,0
PG/SG,Gabe Vincent (14136532),Gabe Vincent,14136532,UTIL,1000,SA@MIA 01/15/2020 07:30PM ET,MIA,0
