Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Devin Booker (13967874),Devin Booker,13967874,CPT,15900,SA@PHO 12/14/2019 05:00PM ET,PHO,40.90
PG,Ricky Rubio (13967875),Ricky Rubio,13967875,CPT,13800,SA@PHO 12/14/2019 05:00PM ET,PHO,35.80
SG/SF,DeMar DeRozan (13967876),DeMar DeRozan,13967876,CPT,13500,SA@PHO 12/14/2019 05:00PM ET,SA,37.44
PF/C,LaMarcus Aldridge (13967877),LaMarcus Aldridge,13967877,CPT,12900,SA@PHO 12/14/2019 05:00PM ET,SA,35.76
SF/PF,Kelly Oubre Jr. (13967878),Kelly Oubre Jr.,13967878,CPT,12300,SA@PHO 12/14/2019 05:00PM ET,PHO,31.92
C,Deandre Ayton (13967879),Deandre Ayton,13967879,CPT,12000,SA@PHO 12/14/2019 05:00PM ET,PHO,43.25
SF/PF,Dario Saric (13967880),Dario Saric,13967880,CPT,11100,SA@PHO 12/14/2019 05:00PM ET,PHO,26.27
PG/SG,Devin Booker (13967841),Devin Booker,13967841,UTIL,10600,SA@PHO 12/14/2019 05:00PM ET,PHO,40.90
PG,Dejounte Murray (13967881),Dejounte Murray,13967881,CPT,10500,SA@PHO 12/14/2019 05:00PM ET,SA,26.31
C,Jakob Poeltl (13967882),Jakob Poeltl,13967882,CPT,9600,SA@PHO 12/14/2019 05:00PM ET,SA,19.40
PG,Ricky Rubio (13967842),Ricky Rubio,13967842,UTIL,9200,SA@PHO 12/14/2019 05:00PM ET,PHO,35.80
SG/SF,DeMar DeRozan (13967843),DeMar DeRozan,13967843,UTIL,9000,SA@PHO 12/14/2019 05:00PM ET,SA,37.44
C,Aron Baynes (13967883),Aron Baynes,13967883,CPT,9000,SA@PHO 12/14/2019 05:00PM ET,PHO,27.58
PF/C,Frank Kaminsky (13967884),Frank Kaminsky,13967884,CPT,8700,SA@PHO 12/14/2019 05:00PM ET,PHO,22.69
PF/C,LaMarcus Aldridge (13967844),LaMarcus Aldridge,13967844,UTIL,8600,SA@PHO 12/14/2019 05:00PM ET,SA,35.76
SF/PF,Kelly Oubre Jr. (13967845),Kelly Oubre Jr.,13967845,UTIL,8200,SA@PHO 12/14/2019 05:00PM ET,PHO,31.92
C,Deandre Ayton (13967846),Deandre Ayton,13967846,UTIL,8000,SA@PHO 12/14/2019 05:00PM ET,PHO,43.25
SF/PF,Rudy Gay (13967885),Rudy Gay,13967885,CPT,7800,SA@PHO 12/14/2019 05:00PM ET,SA,23.12
PG/SG,Derrick White (13967886),Derrick White,13967886,CPT,7500,SA@PHO 12/14/2019 05:00PM ET,SA,19.33
