Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Pascal Siakam (14122156),Pascal Siakam,14122156,CPT,14700,SA@TOR 01/12/2020 06:00PM ET,TOR,44.77
PG,Kyle Lowry (14122157),Kyle Lowry,14122157,CPT,13800,SA@TOR 01/12/2020 06:00PM ET,TOR,41.57
SG/SF,DeMar DeRozan (14122158),DeMar DeRozan,14122158,CPT,13200,SA@TOR 01/12/2020 06:00PM ET,SA,38.01
PF/C,Serge Ibaka (14122159),Serge Ibaka,14122159,CPT,12600,SA@TOR 01/12/2020 06:00PM ET,TOR,30.12
PG/SG,Fred VanVleet (14122160),Fred VanVleet,14122160,CPT,11700,SA@TOR 01/12/2020 06:00PM ET,TOR,38.14
PF/C,LaMarcus Aldridge (14122161),LaMarcus Aldridge,14122161,CPT,11400,SA@TOR 01/12/2020 06:00PM ET,SA,37.65
SG/SF,Norman Powell (14122162),Norman Powell,14122162,CPT,10500,SA@TOR 01/12/2020 06:00PM ET,TOR,24.97
PG/SG,Terence Davis (14122163),Terence Davis,14122163,CPT,10200,SA@TOR 01/12/2020 06:00PM ET,TOR,15.62
PF/C,Pascal Siakam (14122122),Pascal Siakam,14122122,UTIL,9800,SA@TOR 01/12/2020 06:00PM ET,TOR,44.77
PG,Dejounte Murray (14122164),Dejounte Murray,14122164,CPT,9600,SA@TOR 01/12/2020 06:00PM ET,SA,27.08
SF/PF,OG Anunoby (14122165),OG Anunoby,14122165,CPT,9300,SA@TOR 01/12/2020 06:00PM ET,TOR,24.64
PG,Kyle Lowry (14122123),Kyle Lowry,14122123,UTIL,9200,SA@TOR 01/12/2020 06:00PM ET,TOR,41.57
SG/SF,DeMar DeRozan (14122124),DeMar DeRozan,14122124,UTIL,8800,SA@TOR 01/12/2020 06:00PM ET,SA,38.01
PF/C,Serge Ibaka (14122125),Serge Ibaka,14122125,UTIL,8400,SA@TOR 01/12/2020 06:00PM ET,TOR,30.12
SG/SF,Patrick McCaw (14122166),Patrick McCaw,14122166,CPT,8400,SA@TOR 01/12/2020 06:00PM ET,TOR,16.18
PG/SG,Fred VanVleet (14122126),Fred VanVleet,14122126,UTIL,7800,SA@TOR 01/12/2020 06:00PM ET,TOR,38.14
C,Marc Gasol (14122167),Marc Gasol,14122167,CPT,7800,SA@TOR 01/12/2020 06:00PM ET,TOR,23.93
PF/C,LaMarcus Aldridge (14122127),LaMarcus Aldridge,14122127,UTIL,7600,SA@TOR 01/12/2020 06:00PM ET,SA,37.65
SF/PF,Rondae Hollis-Jefferson (14122168),Rondae Hollis-Jefferson,14122168,CPT,7500,SA@TOR 01/12/2020 06:00PM ET,TOR,19.62
SF/PF,Rudy Gay (14122169),Rudy Gay,14122169,CPT,7200,SA@TOR 01/12/2020 06:00PM ET,SA,23.12
SG/SF,Norman Powell (14122128),Norman Powell,14122128,UTIL,7000,SA@TOR 01/12/2020 06:00PM ET,TOR,24.97
PG/SG,Terence Davis (14122129),Terence Davis,14122129,UTIL,6800,SA@TOR 01/12/2020 06:00PM ET,TOR,15.62
PG/SG,Bryn Forbes (14122170),Bryn Forbes,14122170,CPT,6600,SA@TOR 01/12/2020 06:00PM ET,SA,19.10
PG,Dejounte Murray (14122130),Dejounte Murray,14122130,UTIL,6400,SA@TOR 01/12/2020 06:00PM ET,SA,27.08
SF/PF,OG Anunoby (14122131),OG Anunoby,14122131,UTIL,6200,SA@TOR 01/12/2020 06:00PM ET,TOR,24.64
PF/C,Chris Boucher (14122171),Chris Boucher,14122171,CPT,6000,SA@TOR 01/12/2020 06:00PM ET,TOR,15.39
SG/SF,Patrick McCaw (14122132),Patrick McCaw,14122132,UTIL,5600,SA@TOR 01/12/2020 06:00PM ET,TOR,16.18
PG/SG,Patty Mills (14122172),Patty Mills,14122172,CPT,5400,SA@TOR 01/12/2020 06:00PM ET,SA,19.15
C,Marc Gasol (14122133),Marc Gasol,14122133,UTIL,5200,SA@TOR 01/12/2020 06:00PM ET,TOR,23.93
PG/SG,Derrick White (14122173),Derrick White,14122173,CPT,5100,SA@TOR 01/12/2020 06:00PM ET,SA,20.01
SF/PF,Rondae Hollis-Jefferson (14122134),Rondae Hollis-Jefferson,14122134,UTIL,5000,SA@TOR 01/12/2020 06:00PM ET,TOR,19.62
SF/PF,Rudy Gay (14122135),Rudy Gay,14122135,UTIL,4800,SA@TOR 01/12/2020 06:00PM ET,SA,23.12
SG/SF,Lonnie Walker IV (14122174),Lonnie Walker IV,14122174,CPT,4500,SA@TOR 01/12/2020 06:00PM ET,SA,10.22
PG/SG,Bryn Forbes (14122136),Bryn Forbes,14122136,UTIL,4400,SA@TOR 01/12/2020 06:00PM ET,SA,19.10
PF/C,Chris Boucher (14122137),Chris Boucher,14122137,UTIL,4000,SA@TOR 01/12/2020 06:00PM ET,TOR,15.39
PG/SG,Patty Mills (14122138),Patty Mills,14122138,UTIL,3600,SA@TOR 01/12/2020 06:00PM ET,SA,19.15
PF/C,Trey Lyles (14122175),Trey Lyles,14122175,CPT,3600,SA@TOR 01/12/2020 06:00PM ET,SA,15.07
