Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kyrie Irving (14081885),Kyrie Irving,14081885,CPT,16800,TOR@BKN 01/04/2020 06:00PM ET,BKN,50.07
PF/C,Pascal Siakam (14081886),Pascal Siakam,14081886,CPT,16200,TOR@BKN 01/04/2020 06:00PM ET,TOR,44.77
PG,Kyle Lowry (14081887),Kyle Lowry,14081887,CPT,15900,TOR@BKN 01/04/2020 06:00PM ET,TOR,41.27
PG/SG,Spencer Dinwiddie (14081888),Spencer Dinwiddie,14081888,CPT,14700,TOR@BKN 01/04/2020 06:00PM ET,BKN,38.09
PF/C,Serge Ibaka (14081889),Serge Ibaka,14081889,CPT,13800,TOR@BKN 01/04/2020 06:00PM ET,TOR,29.02
PG/SG,Fred VanVleet (14081890),Fred VanVleet,14081890,CPT,13200,TOR@BKN 01/04/2020 06:00PM ET,TOR,37.54
PG/SF,Caris LeVert (14081891),Caris LeVert,14081891,CPT,12000,TOR@BKN 01/04/2020 06:00PM ET,BKN,29.58
PG,Kyrie Irving (14081851),Kyrie Irving,14081851,UTIL,11200,TOR@BKN 01/04/2020 06:00PM ET,BKN,50.07
SG/SF,Norman Powell (14081892),Norman Powell,14081892,CPT,11100,TOR@BKN 01/04/2020 06:00PM ET,TOR,24.97
PF/C,Pascal Siakam (14081852),Pascal Siakam,14081852,UTIL,10800,TOR@BKN 01/04/2020 06:00PM ET,TOR,44.77
C,Jarrett Allen (14081893),Jarrett Allen,14081893,CPT,10800,TOR@BKN 01/04/2020 06:00PM ET,BKN,30.53
PG,Kyle Lowry (14081853),Kyle Lowry,14081853,UTIL,10600,TOR@BKN 01/04/2020 06:00PM ET,TOR,41.27
SF/PF,Taurean Prince (14081894),Taurean Prince,14081894,CPT,10500,TOR@BKN 01/04/2020 06:00PM ET,BKN,26.89
SG/SF,Joe Harris (14081895),Joe Harris,14081895,CPT,10200,TOR@BKN 01/04/2020 06:00PM ET,BKN,25.40
C,Marc Gasol (14081896),Marc Gasol,14081896,CPT,9900,TOR@BKN 01/04/2020 06:00PM ET,TOR,23.93
PG/SG,Spencer Dinwiddie (14081854),Spencer Dinwiddie,14081854,UTIL,9800,TOR@BKN 01/04/2020 06:00PM ET,BKN,38.09
C,DeAndre Jordan (14081897),DeAndre Jordan,14081897,CPT,9600,TOR@BKN 01/04/2020 06:00PM ET,BKN,26.32
SF/PF,OG Anunoby (14081898),OG Anunoby,14081898,CPT,9300,TOR@BKN 01/04/2020 06:00PM ET,TOR,24.94
PF/C,Serge Ibaka (14081855),Serge Ibaka,14081855,UTIL,9200,TOR@BKN 01/04/2020 06:00PM ET,TOR,29.02
SG/SF,Garrett Temple (14081899),Garrett Temple,14081899,CPT,9000,TOR@BKN 01/04/2020 06:00PM ET,BKN,21.87
PG/SG,Fred VanVleet (14081856),Fred VanVleet,14081856,UTIL,8800,TOR@BKN 01/04/2020 06:00PM ET,TOR,37.54
SF/PF,Rondae Hollis-Jefferson (14081900),Rondae Hollis-Jefferson,14081900,CPT,8100,TOR@BKN 01/04/2020 06:00PM ET,TOR,19.32
PG/SF,Caris LeVert (14081857),Caris LeVert,14081857,UTIL,8000,TOR@BKN 01/04/2020 06:00PM ET,BKN,29.58
SG/SF,Norman Powell (14081858),Norman Powell,14081858,UTIL,7400,TOR@BKN 01/04/2020 06:00PM ET,TOR,24.97
C,Jarrett Allen (14081859),Jarrett Allen,14081859,UTIL,7200,TOR@BKN 01/04/2020 06:00PM ET,BKN,30.53
SF/PF,Taurean Prince (14081860),Taurean Prince,14081860,UTIL,7000,TOR@BKN 01/04/2020 06:00PM ET,BKN,26.89
PF/C,Chris Boucher (14081901),Chris Boucher,14081901,CPT,6900,TOR@BKN 01/04/2020 06:00PM ET,TOR,14.96
SG/SF,Joe Harris (14081861),Joe Harris,14081861,UTIL,6800,TOR@BKN 01/04/2020 06:00PM ET,BKN,25.40
C,Marc Gasol (14081862),Marc Gasol,14081862,UTIL,6600,TOR@BKN 01/04/2020 06:00PM ET,TOR,23.93
PG/SG,Terence Davis (14081902),Terence Davis,14081902,CPT,6600,TOR@BKN 01/04/2020 06:00PM ET,TOR,15.03
C,DeAndre Jordan (14081863),DeAndre Jordan,14081863,UTIL,6400,TOR@BKN 01/04/2020 06:00PM ET,BKN,26.32
SG/SF,Timothe Luwawu-Cabarrot (14081903),Timothe Luwawu-Cabarrot,14081903,CPT,6300,TOR@BKN 01/04/2020 06:00PM ET,BKN,10.46
SF/PF,OG Anunoby (14081864),OG Anunoby,14081864,UTIL,6200,TOR@BKN 01/04/2020 06:00PM ET,TOR,24.94
SG/SF,Garrett Temple (14081865),Garrett Temple,14081865,UTIL,6000,TOR@BKN 01/04/2020 06:00PM ET,BKN,21.87
SG/SF,Patrick McCaw (14081904),Patrick McCaw,14081904,CPT,6000,TOR@BKN 01/04/2020 06:00PM ET,TOR,14.29
SF/PF,Wilson Chandler (14081905),Wilson Chandler,14081905,CPT,5700,TOR@BKN 01/04/2020 06:00PM ET,BKN,15.53
SF/PF,Rondae Hollis-Jefferson (14081866),Rondae Hollis-Jefferson,14081866,UTIL,5400,TOR@BKN 01/04/2020 06:00PM ET,TOR,19.32
PG/SG,Theo Pinson (14081906),Theo Pinson,14081906,CPT,5100,TOR@BKN 01/04/2020 06:00PM ET,BKN,11.44
SF/PF,Rodions Kurucs (14081907),Rodions Kurucs,14081907,CPT,4800,TOR@BKN 01/04/2020 06:00PM ET,BKN,7.72
