Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Pascal Siakam (14207994),Pascal Siakam,14207994,CPT,14700,TOR@CLE 01/30/2020 07:00PM ET,TOR,42.58
PG/SG,Fred VanVleet (14207995),Fred VanVleet,14207995,CPT,13800,TOR@CLE 01/30/2020 07:00PM ET,TOR,38.06
PG,Kyle Lowry (14207996),Kyle Lowry,14207996,CPT,13500,TOR@CLE 01/30/2020 07:00PM ET,TOR,40.33
PF,Kevin Love (14207997),Kevin Love,14207997,CPT,12900,TOR@CLE 01/30/2020 07:00PM ET,CLE,36.35
C,Serge Ibaka (14207998),Serge Ibaka,14207998,CPT,12600,TOR@CLE 01/30/2020 07:00PM ET,TOR,30.08
PG/SG,Collin Sexton (14207999),Collin Sexton,14207999,CPT,12300,TOR@CLE 01/30/2020 07:00PM ET,CLE,29.06
SG/SF,Norman Powell (14208000),Norman Powell,14208000,CPT,11400,TOR@CLE 01/30/2020 07:00PM ET,TOR,26.08
PF/C,Larry Nance Jr. (14208001),Larry Nance Jr.,14208001,CPT,10500,TOR@CLE 01/30/2020 07:00PM ET,CLE,23.5
PG,Darius Garland (14208002),Darius Garland,14208002,CPT,10200,TOR@CLE 01/30/2020 07:00PM ET,CLE,20.96
C,Tristan Thompson (14208003),Tristan Thompson,14208003,CPT,9900,TOR@CLE 01/30/2020 07:00PM ET,CLE,31.24
PF/C,Pascal Siakam (14207960),Pascal Siakam,14207960,UTIL,9800,TOR@CLE 01/30/2020 07:00PM ET,TOR,42.58
SF/PF,OG Anunoby (14208004),OG Anunoby,14208004,CPT,9300,TOR@CLE 01/30/2020 07:00PM ET,TOR,23.77
PG/SG,Fred VanVleet (14207961),Fred VanVleet,14207961,UTIL,9200,TOR@CLE 01/30/2020 07:00PM ET,TOR,38.06
PG,Kyle Lowry (14207962),Kyle Lowry,14207962,UTIL,9000,TOR@CLE 01/30/2020 07:00PM ET,TOR,40.33
C,Marc Gasol (14208005),Marc Gasol,14208005,CPT,9000,TOR@CLE 01/30/2020 07:00PM ET,TOR,24.75
PF,Kevin Love (14207963),Kevin Love,14207963,UTIL,8600,TOR@CLE 01/30/2020 07:00PM ET,CLE,36.35
C,Serge Ibaka (14207964),Serge Ibaka,14207964,UTIL,8400,TOR@CLE 01/30/2020 07:00PM ET,TOR,30.08
PG/SG,Collin Sexton (14207965),Collin Sexton,14207965,UTIL,8200,TOR@CLE 01/30/2020 07:00PM ET,CLE,29.06
SF/PF,Cedi Osman (14208006),Cedi Osman,14208006,CPT,8100,TOR@CLE 01/30/2020 07:00PM ET,CLE,21.22
SG/SF,Norman Powell (14207966),Norman Powell,14207966,UTIL,7600,TOR@CLE 01/30/2020 07:00PM ET,TOR,26.08
C,Chris Boucher (14208007),Chris Boucher,14208007,CPT,7500,TOR@CLE 01/30/2020 07:00PM ET,TOR,15.01
PF/C,Larry Nance Jr. (14207967),Larry Nance Jr.,14207967,UTIL,7000,TOR@CLE 01/30/2020 07:00PM ET,CLE,23.5
SG/SF,Kevin Porter Jr. (14208008),Kevin Porter Jr.,14208008,CPT,6900,TOR@CLE 01/30/2020 07:00PM ET,CLE,17.46
PG,Darius Garland (14207968),Darius Garland,14207968,UTIL,6800,TOR@CLE 01/30/2020 07:00PM ET,CLE,20.96
C,Tristan Thompson (14207969),Tristan Thompson,14207969,UTIL,6600,TOR@CLE 01/30/2020 07:00PM ET,CLE,31.24
PG/SG,Terence Davis (14208009),Terence Davis,14208009,CPT,6600,TOR@CLE 01/30/2020 07:00PM ET,TOR,16.20
PG/SG,Dante Exum (14208010),Dante Exum,14208010,CPT,6300,TOR@CLE 01/30/2020 07:00PM ET,CLE,8.96
SF/PF,OG Anunoby (14207970),OG Anunoby,14207970,UTIL,6200,TOR@CLE 01/30/2020 07:00PM ET,TOR,23.77
C,Marc Gasol (14207971),Marc Gasol,14207971,UTIL,6000,TOR@CLE 01/30/2020 07:00PM ET,TOR,24.75
SF/PF,Cedi Osman (14207972),Cedi Osman,14207972,UTIL,5400,TOR@CLE 01/30/2020 07:00PM ET,CLE,21.22
C,Chris Boucher (14207973),Chris Boucher,14207973,UTIL,5000,TOR@CLE 01/30/2020 07:00PM ET,TOR,15.01
SG/SF,Kevin Porter Jr. (14207974),Kevin Porter Jr.,14207974,UTIL,4600,TOR@CLE 01/30/2020 07:00PM ET,CLE,17.46
PG/SG,Terence Davis (14207975),Terence Davis,14207975,UTIL,4400,TOR@CLE 01/30/2020 07:00PM ET,TOR,16.20
PG/SG,Dante Exum (14207976),Dante Exum,14207976,UTIL,4200,TOR@CLE 01/30/2020 07:00PM ET,CLE,8.96
SF/PF,Rondae Hollis-Jefferson (14208011),Rondae Hollis-Jefferson,14208011,CPT,3900,TOR@CLE 01/30/2020 07:00PM ET,TOR,18.80
SF/PF,Alfonzo McKinnie (14208012),Alfonzo McKinnie,14208012,CPT,2700,TOR@CLE 01/30/2020 07:00PM ET,CLE,9.64
SF/PF,Rondae Hollis-Jefferson (14207977),Rondae Hollis-Jefferson,14207977,UTIL,2600,TOR@CLE 01/30/2020 07:00PM ET,TOR,18.80
SF/PF,Alfonzo McKinnie (14207978),Alfonzo McKinnie,14207978,UTIL,1800,TOR@CLE 01/30/2020 07:00PM ET,CLE,9.64
PG,Matthew Dellavedova (14208013),Matthew Dellavedova,14208013,CPT,1800,TOR@CLE 01/30/2020 07:00PM ET,CLE,8.61
C,John Henson (14208014),John Henson,14208014,CPT,1800,TOR@CLE 01/30/2020 07:00PM ET,CLE,14.63
SG,Matt Thomas (14208015),Matt Thomas,14208015,CPT,1800,TOR@CLE 01/30/2020 07:00PM ET,TOR,7.80
C,Ante Zizic (14208016),Ante Zizic,14208016,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,CLE,10.16
SG,Paul Watson (14208017),Paul Watson,14208017,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,TOR,4.5
PF/C,Tyler Cook (14208018),Tyler Cook,14208018,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,CLE,3.14
SF/PF,Stanley Johnson (14208019),Stanley Johnson,14208019,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,TOR,3.57
SG,Brandon Knight (14208020),Brandon Knight,14208020,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,CLE,10.38
SF,Oshae Brissett (14208021),Oshae Brissett,14208021,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,TOR,4.95
PG/SG,Matt Mooney (14208022),Matt Mooney,14208022,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,CLE,3.38
PG/SF,Patrick McCaw (14208023),Patrick McCaw,14208023,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,TOR,14.42
PF,Dean Wade (14208024),Dean Wade,14208024,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,CLE,5.08
PF/C,Dewan Hernandez (14208025),Dewan Hernandez,14208025,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,TOR,3.56
SG/SF,Malcolm Miller (14208026),Malcolm Miller,14208026,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,TOR,2.84
SF,Dylan Windler (14208027),Dylan Windler,14208027,CPT,1500,TOR@CLE 01/30/2020 07:00PM ET,CLE,0
PG,Matthew Dellavedova (14207979),Matthew Dellavedova,14207979,UTIL,1200,TOR@CLE 01/30/2020 07:00PM ET,CLE,8.61
C,John Henson (14207980),John Henson,14207980,UTIL,1200,TOR@CLE 01/30/2020 07:00PM ET,CLE,14.63
SG,Matt Thomas (14207981),Matt Thomas,14207981,UTIL,1200,TOR@CLE 01/30/2020 07:00PM ET,TOR,7.80
C,Ante Zizic (14207982),Ante Zizic,14207982,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,CLE,10.16
SG,Paul Watson (14207983),Paul Watson,14207983,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,TOR,4.5
PF/C,Tyler Cook (14207984),Tyler Cook,14207984,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,CLE,3.14
SF/PF,Stanley Johnson (14207985),Stanley Johnson,14207985,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,TOR,3.57
SG,Brandon Knight (14207986),Brandon Knight,14207986,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,CLE,10.38
SF,Oshae Brissett (14207987),Oshae Brissett,14207987,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,TOR,4.95
PG/SG,Matt Mooney (14207988),Matt Mooney,14207988,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,CLE,3.38
PG/SF,Patrick McCaw (14207989),Patrick McCaw,14207989,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,TOR,14.42
PF,Dean Wade (14207990),Dean Wade,14207990,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,CLE,5.08
PF/C,Dewan Hernandez (14207991),Dewan Hernandez,14207991,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,TOR,3.56
SG/SF,Malcolm Miller (14207992),Malcolm Miller,14207992,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,TOR,2.84
SF,Dylan Windler (14207993),Dylan Windler,14207993,UTIL,1000,TOR@CLE 01/30/2020 07:00PM ET,CLE,0
