Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Julius Randle (14177480),Julius Randle,14177480,CPT,15300,TOR@NY 01/24/2020 07:30PM ET,NY,36.96
PF/C,Pascal Siakam (14177481),Pascal Siakam,14177481,CPT,15000,TOR@NY 01/24/2020 07:30PM ET,TOR,42.45
PG/SG,Fred VanVleet (14177482),Fred VanVleet,14177482,CPT,14400,TOR@NY 01/24/2020 07:30PM ET,TOR,38.47
PG,Kyle Lowry (14177483),Kyle Lowry,14177483,CPT,13200,TOR@NY 01/24/2020 07:30PM ET,TOR,40.41
SF/PF,Marcus Morris Sr. (14177484),Marcus Morris Sr.,14177484,CPT,12000,TOR@NY 01/24/2020 07:30PM ET,NY,31.13
SG/SF,Norman Powell (14177485),Norman Powell,14177485,CPT,11400,TOR@NY 01/24/2020 07:30PM ET,TOR,26.67
PG/SG,RJ Barrett (14177486),RJ Barrett,14177486,CPT,11100,TOR@NY 01/24/2020 07:30PM ET,NY,26.76
PG,Elfrid Payton (14177487),Elfrid Payton,14177487,CPT,10500,TOR@NY 01/24/2020 07:30PM ET,NY,25.70
PF/C,Julius Randle (14177446),Julius Randle,14177446,UTIL,10200,TOR@NY 01/24/2020 07:30PM ET,NY,36.96
C,Serge Ibaka (14177488),Serge Ibaka,14177488,CPT,10200,TOR@NY 01/24/2020 07:30PM ET,TOR,29.87
PF/C,Pascal Siakam (14177447),Pascal Siakam,14177447,UTIL,10000,TOR@NY 01/24/2020 07:30PM ET,TOR,42.45
PG/SG,Fred VanVleet (14177448),Fred VanVleet,14177448,UTIL,9600,TOR@NY 01/24/2020 07:30PM ET,TOR,38.47
C,Marc Gasol (14177489),Marc Gasol,14177489,CPT,9000,TOR@NY 01/24/2020 07:30PM ET,TOR,24.80
PG,Kyle Lowry (14177449),Kyle Lowry,14177449,UTIL,8800,TOR@NY 01/24/2020 07:30PM ET,TOR,40.41
C,Mitchell Robinson (14177490),Mitchell Robinson,14177490,CPT,8100,TOR@NY 01/24/2020 07:30PM ET,NY,23.74
SF/PF,Marcus Morris Sr. (14177450),Marcus Morris Sr.,14177450,UTIL,8000,TOR@NY 01/24/2020 07:30PM ET,NY,31.13
