Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Fred VanVleet (14188403),Fred VanVleet,14188403,CPT,16500,TOR@SA 01/26/2020 04:00PM ET,TOR,38.31
SG/SF,DeMar DeRozan (14188404),DeMar DeRozan,14188404,CPT,15900,TOR@SA 01/26/2020 04:00PM ET,SA,39.04
PF/C,Pascal Siakam (14188405),Pascal Siakam,14188405,CPT,15300,TOR@SA 01/26/2020 04:00PM ET,TOR,42.31
PG,Kyle Lowry (14188406),Kyle Lowry,14188406,CPT,14100,TOR@SA 01/26/2020 04:00PM ET,TOR,40.68
PF/C,LaMarcus Aldridge (14188407),LaMarcus Aldridge,14188407,CPT,13800,TOR@SA 01/26/2020 04:00PM ET,SA,37.27
SG/SF,Norman Powell (14188408),Norman Powell,14188408,CPT,12600,TOR@SA 01/26/2020 04:00PM ET,TOR,26.65
C,Serge Ibaka (14188409),Serge Ibaka,14188409,CPT,11400,TOR@SA 01/26/2020 04:00PM ET,TOR,29.56
PG/SG,Fred VanVleet (14188369),Fred VanVleet,14188369,UTIL,11000,TOR@SA 01/26/2020 04:00PM ET,TOR,38.31
SG/SF,DeMar DeRozan (14188370),DeMar DeRozan,14188370,UTIL,10600,TOR@SA 01/26/2020 04:00PM ET,SA,39.04
PF/C,Pascal Siakam (14188371),Pascal Siakam,14188371,UTIL,10200,TOR@SA 01/26/2020 04:00PM ET,TOR,42.31
PG/SG,Derrick White (14188410),Derrick White,14188410,CPT,10200,TOR@SA 01/26/2020 04:00PM ET,SA,21.56
PG,Kyle Lowry (14188372),Kyle Lowry,14188372,UTIL,9400,TOR@SA 01/26/2020 04:00PM ET,TOR,40.68
C,Marc Gasol (14188411),Marc Gasol,14188411,CPT,9300,TOR@SA 01/26/2020 04:00PM ET,TOR,24.77
PF/C,LaMarcus Aldridge (14188373),LaMarcus Aldridge,14188373,UTIL,9200,TOR@SA 01/26/2020 04:00PM ET,SA,37.27
SG/SF,Norman Powell (14188374),Norman Powell,14188374,UTIL,8400,TOR@SA 01/26/2020 04:00PM ET,TOR,26.65
PG,Dejounte Murray (14188412),Dejounte Murray,14188412,CPT,8400,TOR@SA 01/26/2020 04:00PM ET,SA,26.41
C,Serge Ibaka (14188375),Serge Ibaka,14188375,UTIL,7600,TOR@SA 01/26/2020 04:00PM ET,TOR,29.56
SF/PF,Rondae Hollis-Jefferson (14188413),Rondae Hollis-Jefferson,14188413,CPT,7200,TOR@SA 01/26/2020 04:00PM ET,TOR,19.25
PG/SG,Derrick White (14188376),Derrick White,14188376,UTIL,6800,TOR@SA 01/26/2020 04:00PM ET,SA,21.56
SF/PF,OG Anunoby (14188414),OG Anunoby,14188414,CPT,6600,TOR@SA 01/26/2020 04:00PM ET,TOR,23.72
C,Marc Gasol (14188377),Marc Gasol,14188377,UTIL,6200,TOR@SA 01/26/2020 04:00PM ET,TOR,24.77
PG/SG,Bryn Forbes (14188415),Bryn Forbes,14188415,CPT,6000,TOR@SA 01/26/2020 04:00PM ET,SA,18.36
PF/C,Trey Lyles (14188416),Trey Lyles,14188416,CPT,5700,TOR@SA 01/26/2020 04:00PM ET,SA,15.02
PG,Dejounte Murray (14188378),Dejounte Murray,14188378,UTIL,5600,TOR@SA 01/26/2020 04:00PM ET,SA,26.41
PG/SG,Patty Mills (14188417),Patty Mills,14188417,CPT,5400,TOR@SA 01/26/2020 04:00PM ET,SA,19.03
SF/PF,Rudy Gay (14188418),Rudy Gay,14188418,CPT,5100,TOR@SA 01/26/2020 04:00PM ET,SA,22.07
SF/PF,Rondae Hollis-Jefferson (14188379),Rondae Hollis-Jefferson,14188379,UTIL,4800,TOR@SA 01/26/2020 04:00PM ET,TOR,19.25
SF/PF,OG Anunoby (14188380),OG Anunoby,14188380,UTIL,4400,TOR@SA 01/26/2020 04:00PM ET,TOR,23.72
C,Jakob Poeltl (14188419),Jakob Poeltl,14188419,CPT,4200,TOR@SA 01/26/2020 04:00PM ET,SA,18.23
PG/SG,Bryn Forbes (14188381),Bryn Forbes,14188381,UTIL,4000,TOR@SA 01/26/2020 04:00PM ET,SA,18.36
PF/C,Trey Lyles (14188382),Trey Lyles,14188382,UTIL,3800,TOR@SA 01/26/2020 04:00PM ET,SA,15.02
PG/SG,Patty Mills (14188383),Patty Mills,14188383,UTIL,3600,TOR@SA 01/26/2020 04:00PM ET,SA,19.03
SF/PF,Rudy Gay (14188384),Rudy Gay,14188384,UTIL,3400,TOR@SA 01/26/2020 04:00PM ET,SA,22.07
PG/SG,Terence Davis (14188420),Terence Davis,14188420,CPT,3300,TOR@SA 01/26/2020 04:00PM ET,TOR,15.99
C,Jakob Poeltl (14188385),Jakob Poeltl,14188385,UTIL,2800,TOR@SA 01/26/2020 04:00PM ET,SA,18.23
SF,Marco Belinelli (14188421),Marco Belinelli,14188421,CPT,2700,TOR@SA 01/26/2020 04:00PM ET,SA,10.22
SG,Paul Watson (14188422),Paul Watson,14188422,CPT,2400,TOR@SA 01/26/2020 04:00PM ET,TOR,4.5
PG/SG,Terence Davis (14188386),Terence Davis,14188386,UTIL,2200,TOR@SA 01/26/2020 04:00PM ET,TOR,15.99
C,Chris Boucher (14188423),Chris Boucher,14188423,CPT,2100,TOR@SA 01/26/2020 04:00PM ET,TOR,14.91
SF,Marco Belinelli (14188387),Marco Belinelli,14188387,UTIL,1800,TOR@SA 01/26/2020 04:00PM ET,SA,10.22
SG/SF,Keldon Johnson (14188424),Keldon Johnson,14188424,CPT,1800,TOR@SA 01/26/2020 04:00PM ET,SA,2.25
SG,Paul Watson (14188388),Paul Watson,14188388,UTIL,1600,TOR@SA 01/26/2020 04:00PM ET,TOR,4.5
PF/C,Chimezie Metu (14188425),Chimezie Metu,14188425,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,SA,5.75
PF,DeMarre Carroll (14188426),DeMarre Carroll,14188426,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,SA,6.18
PF/C,Drew Eubanks (14188427),Drew Eubanks,14188427,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,SA,6.29
SG/SF,Lonnie Walker IV (14188428),Lonnie Walker IV,14188428,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,SA,10.33
SG/SF,Malcolm Miller (14188429),Malcolm Miller,14188429,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,TOR,2.98
SF/PF,Stanley Johnson (14188430),Stanley Johnson,14188430,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,TOR,3.52
SG,Matt Thomas (14188431),Matt Thomas,14188431,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,TOR,8.02
PG/SF,Patrick McCaw (14188432),Patrick McCaw,14188432,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,TOR,14.42
PF/C,Dewan Hernandez (14188433),Dewan Hernandez,14188433,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,TOR,3.56
SF,Oshae Brissett (14188434),Oshae Brissett,14188434,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,TOR,5.27
PF,Luka Samanic (14188435),Luka Samanic,14188435,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,SA,0
SG,Quinndary Weatherspoon (14188436),Quinndary Weatherspoon,14188436,CPT,1500,TOR@SA 01/26/2020 04:00PM ET,SA,0
C,Chris Boucher (14188389),Chris Boucher,14188389,UTIL,1400,TOR@SA 01/26/2020 04:00PM ET,TOR,14.91
SG/SF,Keldon Johnson (14188390),Keldon Johnson,14188390,UTIL,1200,TOR@SA 01/26/2020 04:00PM ET,SA,2.25
PF/C,Chimezie Metu (14188391),Chimezie Metu,14188391,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,SA,5.75
PF,DeMarre Carroll (14188392),DeMarre Carroll,14188392,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,SA,6.18
PF/C,Drew Eubanks (14188393),Drew Eubanks,14188393,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,SA,6.29
SG/SF,Lonnie Walker IV (14188394),Lonnie Walker IV,14188394,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,SA,10.33
SG/SF,Malcolm Miller (14188395),Malcolm Miller,14188395,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,TOR,2.98
SF/PF,Stanley Johnson (14188396),Stanley Johnson,14188396,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,TOR,3.52
SG,Matt Thomas (14188397),Matt Thomas,14188397,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,TOR,8.02
PG/SF,Patrick McCaw (14188398),Patrick McCaw,14188398,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,TOR,14.42
PF/C,Dewan Hernandez (14188399),Dewan Hernandez,14188399,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,TOR,3.56
SF,Oshae Brissett (14188400),Oshae Brissett,14188400,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,TOR,5.27
PF,Luka Samanic (14188401),Luka Samanic,14188401,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,SA,0
SG,Quinndary Weatherspoon (14188402),Quinndary Weatherspoon,14188402,UTIL,1000,TOR@SA 01/26/2020 04:00PM ET,SA,0
