Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Paul George (14013601),Paul George,14013601,SF/F/UTIL,9500,LAC@SA 12/21/2019 08:30PM ET,LAC,42.64
SF/PF,Kawhi Leonard (14013613),Kawhi Leonard,14013613,SF/PF/F/UTIL,8500,LAC@SA 12/21/2019 08:30PM ET,LAC,46.99
PG,Ja Morant (14013795),Ja Morant,14013795,PG/G/UTIL,7700,SAC@MEM 12/21/2019 08:00PM ET,MEM,34.75
PF/C,LaMarcus Aldridge (14013567),LaMarcus Aldridge,14013567,PF/C/F/UTIL,7400,LAC@SA 12/21/2019 08:30PM ET,SA,36.72
SG/SF,Buddy Hield (14013644),Buddy Hield,14013644,SG/SF/F/G/UTIL,7100,SAC@MEM 12/21/2019 08:00PM ET,SAC,34.99
SG/SF,DeMar DeRozan (14013592),DeMar DeRozan,14013592,SG/SF/F/G/UTIL,6900,LAC@SA 12/21/2019 08:30PM ET,SA,36.25
PG/SG,Lou Williams (14013571),Lou Williams,14013571,PG/SG/G/UTIL,6700,LAC@SA 12/21/2019 08:30PM ET,LAC,33.46
PG,De'Aaron Fox (14013783),De'Aaron Fox,14013783,PG/G/UTIL,6600,SAC@MEM 12/21/2019 08:00PM ET,SAC,34.75
C,Jonas Valanciunas (14013632),Jonas Valanciunas,14013632,C/UTIL,6500,SAC@MEM 12/21/2019 08:00PM ET,MEM,31.74
PF/C,Jaren Jackson Jr. (14013802),Jaren Jackson Jr.,14013802,PF/C/F/UTIL,6500,SAC@MEM 12/21/2019 08:00PM ET,MEM,29.20
PF/C,Montrezl Harrell (14013657),Montrezl Harrell,14013657,PF/C/F/UTIL,6400,LAC@SA 12/21/2019 08:30PM ET,LAC,34.48
PG,Dejounte Murray (14013728),Dejounte Murray,14013728,PG/G/UTIL,6000,LAC@SA 12/21/2019 08:30PM ET,SA,27.40
PF/C,Brandon Clarke (14013734),Brandon Clarke,14013734,PF/C/F/UTIL,5800,SAC@MEM 12/21/2019 08:00PM ET,MEM,24.5
PF/C,Marvin Bagley III (14013798),Marvin Bagley III,14013798,PF/C/F/UTIL,5400,SAC@MEM 12/21/2019 08:00PM ET,SAC,25.96
SF/PF,Harrison Barnes (14013620),Harrison Barnes,14013620,SF/PF/F/UTIL,5300,SAC@MEM 12/21/2019 08:00PM ET,SAC,27.14
