Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14170500),James Harden,14170500,PG/SG/G/UTIL,11200,DEN@HOU 01/22/2020 08:00PM ET,HOU,61.61
C,Karl-Anthony Towns (14170617),Karl-Anthony Towns,14170617,C/UTIL,10400,MIN@CHI 01/22/2020 08:00PM ET,MIN,51.93
PG,Russell Westbrook (14170497),Russell Westbrook,14170497,PG/G/UTIL,9800,DEN@HOU 01/22/2020 08:00PM ET,HOU,49.65
C,Nikola Jokic (14170615),Nikola Jokic,14170615,C/UTIL,9200,DEN@HOU 01/22/2020 08:00PM ET,DEN,45.08
SG,Zach LaVine (14170597),Zach LaVine,14170597,SG/G/UTIL,9000,MIN@CHI 01/22/2020 08:00PM ET,CHI,40.55
C,Clint Capela (14170613),Clint Capela,14170613,C/UTIL,7500,DEN@HOU 01/22/2020 08:00PM ET,HOU,39.6
PG/SF,Will Barton (14170522),Will Barton,14170522,PG/SF/F/G/UTIL,7400,DEN@HOU 01/22/2020 08:00PM ET,DEN,32.82
SG/SF,Andrew Wiggins (14170608),Andrew Wiggins,14170608,SG/SF/F/G/UTIL,6700,MIN@CHI 01/22/2020 08:00PM ET,MIN,37.21
SF/PF,Michael Porter Jr. (14170677),Michael Porter Jr.,14170677,SF/PF/F/UTIL,6600,DEN@HOU 01/22/2020 08:00PM ET,DEN,14.42
PG,Jamal Murray (14170644),Jamal Murray,14170644,PG/G/UTIL,6400,DEN@HOU 01/22/2020 08:00PM ET,DEN,32.58
SF/PF,Robert Covington (14170513),Robert Covington,14170513,SF/PF/F/UTIL,5900,MIN@CHI 01/22/2020 08:00PM ET,MIN,27.60
C,Wendell Carter Jr. (14170673),Wendell Carter Jr.,14170673,C/UTIL,5800,MIN@CHI 01/22/2020 08:00PM ET,CHI,29.16
PF/C,Lauri Markkanen (14170662),Lauri Markkanen,14170662,PF/C/F/UTIL,5700,MIN@CHI 01/22/2020 08:00PM ET,CHI,28.37
PF/C,Jerami Grant (14170578),Jerami Grant,14170578,PF/C/F/UTIL,5600,DEN@HOU 01/22/2020 08:00PM ET,DEN,18.46
PG,Shabazz Napier (14170527),Shabazz Napier,14170527,PG/G/UTIL,5100,MIN@CHI 01/22/2020 08:00PM ET,MIN,21.27
SF/PF,Otto Porter Jr. (14170546),Otto Porter Jr.,14170546,SF/PF/F/UTIL,5100,MIN@CHI 01/22/2020 08:00PM ET,CHI,21.03
PF,Thaddeus Young (14170494),Thaddeus Young,14170494,PF/F/UTIL,5000,MIN@CHI 01/22/2020 08:00PM ET,CHI,20.11
PG/SG,Jarrett Culver (14170685),Jarrett Culver,14170685,PG/SG/G/UTIL,5000,MIN@CHI 01/22/2020 08:00PM ET,MIN,20.54
PG,Tomas Satoransky (14170550),Tomas Satoransky,14170550,PG/G/UTIL,4900,MIN@CHI 01/22/2020 08:00PM ET,CHI,25.06
PG/SF,Kris Dunn (14170573),Kris Dunn,14170573,PG/SF/F/G/UTIL,4900,MIN@CHI 01/22/2020 08:00PM ET,CHI,20.87
PF/C,Paul Millsap (14170481),Paul Millsap,14170481,PF/C/F/UTIL,4800,DEN@HOU 01/22/2020 08:00PM ET,DEN,24.34
PG,Monte Morris (14170590),Monte Morris,14170590,PG/G/UTIL,4800,DEN@HOU 01/22/2020 08:00PM ET,DEN,16.41
C,Daniel Gafford (14170675),Daniel Gafford,14170675,C/UTIL,4800,MIN@CHI 01/22/2020 08:00PM ET,CHI,11.40
PF/C,Mason Plumlee (14170509),Mason Plumlee,14170509,PF/C/F/UTIL,4700,DEN@HOU 01/22/2020 08:00PM ET,DEN,19.55
SG,Gary Harris (14170582),Gary Harris,14170582,SG/G/UTIL,4700,DEN@HOU 01/22/2020 08:00PM ET,DEN,21.35
PG/SG,Malik Beasley (14170635),Malik Beasley,14170635,PG/SG/G/UTIL,4700,DEN@HOU 01/22/2020 08:00PM ET,DEN,12.69
PF/C,Luke Kornet (14170600),Luke Kornet,14170600,PF/C/F/UTIL,4700,MIN@CHI 01/22/2020 08:00PM ET,CHI,9.9
SG/SF,Eric Gordon (14170504),Eric Gordon,14170504,SG/SF/F/G/UTIL,4400,DEN@HOU 01/22/2020 08:00PM ET,HOU,19.40
PG/SG,Coby White (14170696),Coby White,14170696,PG/SG/G/UTIL,4300,MIN@CHI 01/22/2020 08:00PM ET,CHI,20.86
SF/PF,Danuel House Jr. (14170553),Danuel House Jr.,14170553,SF/PF/F/UTIL,4200,DEN@HOU 01/22/2020 08:00PM ET,HOU,20.47
PF/C,P.J. Tucker (14170477),P.J. Tucker,14170477,PF/C/F/UTIL,4100,DEN@HOU 01/22/2020 08:00PM ET,HOU,22.10
SG/SF,Josh Okogie (14170657),Josh Okogie,14170657,SG/SF/F/G/UTIL,4100,MIN@CHI 01/22/2020 08:00PM ET,MIN,18.54
C,Gorgui Dieng (14170530),Gorgui Dieng,14170530,C/UTIL,3900,MIN@CHI 01/22/2020 08:00PM ET,MIN,21.44
SG/SF,Torrey Craig (14170532),Torrey Craig,14170532,SG/SF/F/G/UTIL,3500,DEN@HOU 01/22/2020 08:00PM ET,DEN,8.73
SG/SF,Ben McLemore (14170541),Ben McLemore,14170541,SG/SF/F/G/UTIL,3500,DEN@HOU 01/22/2020 08:00PM ET,HOU,17.33
C,Cristiano Felicio (14170619),Cristiano Felicio,14170619,C/UTIL,3400,MIN@CHI 01/22/2020 08:00PM ET,CHI,4.65
PF/C,Isaiah Hartenstein (14170666),Isaiah Hartenstein,14170666,PF/C/F/UTIL,3200,DEN@HOU 01/22/2020 08:00PM ET,HOU,14.57
SG/SF,PJ Dozier (14170639),PJ Dozier,14170639,SG/SF/F/G/UTIL,3100,DEN@HOU 01/22/2020 08:00PM ET,DEN,11.88
SF/PF,Keita Bates-Diop (14170624),Keita Bates-Diop,14170624,SF/PF/F/UTIL,3100,MIN@CHI 01/22/2020 08:00PM ET,MIN,13.93
C,Tyson Chandler (14170473),Tyson Chandler,14170473,C/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,5.98
C,Nene Hilario (14170475),Nene Hilario,14170475,C/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,0
SG/SF,Gerald Green (14170485),Gerald Green,14170485,SG/SF/F/G/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,0
SF/PF,Thabo Sefolosha (14170490),Thabo Sefolosha,14170490,SF/PF/F/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,6.95
PG/SG,Austin Rivers (14170537),Austin Rivers,14170537,PG/SG/G/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,14.80
PG/SG,Michael Frazier (14170562),Michael Frazier,14170562,PG/SG/G/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,3.58
PG,Chris Clemons (14170647),Chris Clemons,14170647,PG/G/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,8.85
SF/PF,Juancho Hernangomez (14170650),Juancho Hernangomez,14170650,SF/PF/F/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,DEN,7.09
SF,Vlatko Cancar (14170670),Vlatko Cancar,14170670,SF/F/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,DEN,1.18
SF/PF,Jarred Vanderbilt (14170681),Jarred Vanderbilt,14170681,SF/PF/F/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,DEN,1.25
C,Bol Bol (14170692),Bol Bol,14170692,C/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,DEN,0
SF/PF,William Howard (14170700),William Howard,14170700,SF/PF/F/UTIL,3000,DEN@HOU 01/22/2020 08:00PM ET,HOU,0
SG/SF,Allen Crabbe (14170517),Allen Crabbe,14170517,SG/SF/F/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,11.12
PG/SF,Shaquille Harrison (14170557),Shaquille Harrison,14170557,PG/SF/F/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,CHI,7.03
PG/SG,Ryan Arcidiacono (14170566),Ryan Arcidiacono,14170566,PG/SG/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,CHI,9.24
PF,Jake Layman (14170570),Jake Layman,14170570,PF/F/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,18.52
SG/SF,Denzel Valentine (14170585),Denzel Valentine,14170585,SG/SF/F/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,CHI,11.25
PF/C,Jordan Bell (14170593),Jordan Bell,14170593,PF/C/F/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,8.41
PF/C,Noah Vonleh (14170604),Noah Vonleh,14170604,PF/C/F/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,11.75
SF,Kelan Martin (14170621),Kelan Martin,14170621,SF/F/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,12.03
PG,Jordan McLaughlin (14170628),Jordan McLaughlin,14170628,PG/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,13.56
SF/PF,Chandler Hutchison (14170631),Chandler Hutchison,14170631,SF/PF/F/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,CHI,12.62
SG,Max Strus (14170654),Max Strus,14170654,SG/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,CHI,3.12
PG,Jaylen Nowell (14170689),Jaylen Nowell,14170689,PG/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,6.82
C,Naz Reid (14170694),Naz Reid,14170694,C/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,MIN,14.29
SG,Adam Mokoka (14170704),Adam Mokoka,14170704,SG/G/UTIL,3000,MIN@CHI 01/22/2020 08:00PM ET,CHI,1.25
