Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (13871500),Luka Doncic,13871500,PG/SF/F/G/UTIL,11800,DAL@PHO 11/29/2019 09:00PM ET,DAL,61.68
SG/SF,Kawhi Leonard (13871335),Kawhi Leonard,13871335,SG/SF/F/G/UTIL,9300,LAC@SA 11/29/2019 08:30PM ET,LAC,49.23
SF/PF,Paul George (13871318),Paul George,13871318,SF/PF/F/UTIL,8800,LAC@SA 11/29/2019 08:30PM ET,LAC,42.53
PG/SG,Devin Booker (13871413),Devin Booker,13871413,PG/SG/G/UTIL,7900,DAL@PHO 11/29/2019 09:00PM ET,PHO,39.69
PF/C,Kristaps Porzingis (13871426),Kristaps Porzingis,13871426,PF/C/F/UTIL,7600,DAL@PHO 11/29/2019 09:00PM ET,DAL,38.27
SG/SF,DeMar DeRozan (13871305),DeMar DeRozan,13871305,SG/SF/F/G/UTIL,7300,LAC@SA 11/29/2019 08:30PM ET,SA,37.34
PF/C,LaMarcus Aldridge (13871273),LaMarcus Aldridge,13871273,PF/C/F/UTIL,7100,LAC@SA 11/29/2019 08:30PM ET,SA,34.84
PG/SG,Lou Williams (13871282),Lou Williams,13871282,PG/SG/G/UTIL,7000,LAC@SA 11/29/2019 08:30PM ET,LAC,37.18
SF/PF,Kelly Oubre Jr. (13871403),Kelly Oubre Jr.,13871403,SF/PF/F/UTIL,6600,DAL@PHO 11/29/2019 09:00PM ET,PHO,30.43
PF/C,Montrezl Harrell (13871365),Montrezl Harrell,13871365,PF/C/F/UTIL,6400,LAC@SA 11/29/2019 08:30PM ET,LAC,35.80
PG,Ricky Rubio (13871322),Ricky Rubio,13871322,PG/G/UTIL,6400,DAL@PHO 11/29/2019 09:00PM ET,PHO,34.06
C,Aron Baynes (13871286),Aron Baynes,13871286,C/UTIL,6000,DAL@PHO 11/29/2019 09:00PM ET,PHO,28.81
SF/PF,Dario Saric (13871391),Dario Saric,13871391,SF/PF/F/UTIL,5900,DAL@PHO 11/29/2019 09:00PM ET,PHO,25.76
PG,Dejounte Murray (13871446),Dejounte Murray,13871446,PG/G/UTIL,5100,LAC@SA 11/29/2019 08:30PM ET,SA,27.25
PF/C,Frank Kaminsky (13871357),Frank Kaminsky,13871357,PF/C/F/UTIL,4900,DAL@PHO 11/29/2019 09:00PM ET,PHO,21.09
PF/C,Cheick Diallo (13871452),Cheick Diallo,13871452,PF/C/F/UTIL,4900,DAL@PHO 11/29/2019 09:00PM ET,PHO,10.67
SF/PF,Rudy Gay (13871269),Rudy Gay,13871269,SF/PF/F/UTIL,4800,LAC@SA 11/29/2019 08:30PM ET,SA,23.82
PG/SG,Patrick Beverley (13871288),Patrick Beverley,13871288,PG/SG/G/UTIL,4800,LAC@SA 11/29/2019 08:30PM ET,LAC,24.81
PG/SG,Bryn Forbes (13871369),Bryn Forbes,13871369,PG/SG/G/UTIL,4600,LAC@SA 11/29/2019 08:30PM ET,SA,21.09
SG/SF,Tim Hardaway Jr. (13871340),Tim Hardaway Jr.,13871340,SG/SF/F/G/UTIL,4600,DAL@PHO 11/29/2019 09:00PM ET,DAL,19.53
C,Jakob Poeltl (13871411),Jakob Poeltl,13871411,C/UTIL,4500,LAC@SA 11/29/2019 08:30PM ET,SA,17.68
PF/C,Maxi Kleber (13871496),Maxi Kleber,13871496,PF/C/F/UTIL,4300,DAL@PHO 11/29/2019 09:00PM ET,DAL,19.28
SF/PF,JaMychal Green (13871310),JaMychal Green,13871310,SF/PF/F/UTIL,4200,LAC@SA 11/29/2019 08:30PM ET,LAC,19.37
PG/SG,Derrick White (13871387),Derrick White,13871387,PG/SG/G/UTIL,4200,LAC@SA 11/29/2019 08:30PM ET,SA,19.60
PG/SG,Elie Okobo (13871505),Elie Okobo,13871505,PG/SG/G/UTIL,4200,DAL@PHO 11/29/2019 09:00PM ET,PHO,11.44
C,Dwight Powell (13871345),Dwight Powell,13871345,C/UTIL,4100,DAL@PHO 11/29/2019 09:00PM ET,DAL,16.57
SF/PF,Dorian Finney-Smith (13871353),Dorian Finney-Smith,13871353,SF/PF/F/UTIL,4100,DAL@PHO 11/29/2019 09:00PM ET,DAL,19.31
C,Ivica Zubac (13871468),Ivica Zubac,13871468,C/UTIL,4000,LAC@SA 11/29/2019 08:30PM ET,LAC,20.88
PG/SG,Patty Mills (13871301),Patty Mills,13871301,PG/SG/G/UTIL,3900,LAC@SA 11/29/2019 08:30PM ET,SA,19.01
SF/PF,Moe Harkless (13871361),Moe Harkless,13871361,SF/PF/F/UTIL,3900,LAC@SA 11/29/2019 08:30PM ET,LAC,14.30
PG/SG,Tyler Johnson (13871349),Tyler Johnson,13871349,PG/SG/G/UTIL,3800,DAL@PHO 11/29/2019 09:00PM ET,PHO,14.47
C,Deandre Ayton (13871494),Deandre Ayton,13871494,C/UTIL,3700,DAL@PHO 11/29/2019 09:00PM ET,PHO,43.25
PG/SG,Delon Wright (13871376),Delon Wright,13871376,PG/SG/G/UTIL,3600,DAL@PHO 11/29/2019 09:00PM ET,DAL,19.60
SG/SF,Mikal Bridges (13871421),Mikal Bridges,13871421,SG/SF/F/G/UTIL,3600,DAL@PHO 11/29/2019 09:00PM ET,PHO,15.10
SF/PF,Cameron Johnson (13871399),Cameron Johnson,13871399,SF/PF/F/UTIL,3500,DAL@PHO 11/29/2019 09:00PM ET,PHO,16.47
PF/C,Trey Lyles (13871417),Trey Lyles,13871417,PF/C/F/UTIL,3200,LAC@SA 11/29/2019 08:30PM ET,SA,14.5
PG/SG,J.J. Barea (13871261),J.J. Barea,13871261,PG/SG/G/UTIL,3200,DAL@PHO 11/29/2019 09:00PM ET,DAL,18.83
PG/SG,Seth Curry (13871314),Seth Curry,13871314,PG/SG/G/UTIL,3200,DAL@PHO 11/29/2019 09:00PM ET,DAL,14.17
SF/PF,Justin Jackson (13871395),Justin Jackson,13871395,SF/PF/F/UTIL,3200,DAL@PHO 11/29/2019 09:00PM ET,DAL,10.72
SG/SF,Rodney McGruder (13871325),Rodney McGruder,13871325,SG/SF/F/G/UTIL,3100,LAC@SA 11/29/2019 08:30PM ET,LAC,9.27
C,Boban Marjanovic (13871347),Boban Marjanovic,13871347,C/UTIL,3100,DAL@PHO 11/29/2019 09:00PM ET,DAL,14.28
PG/SG,Jalen Brunson (13871456),Jalen Brunson,13871456,PG/SG/G/UTIL,3100,DAL@PHO 11/29/2019 09:00PM ET,DAL,16.22
SF/PF,DeMarre Carroll (13871265),DeMarre Carroll,13871265,SF/PF/F/UTIL,3000,LAC@SA 11/29/2019 08:30PM ET,SA,8
SG/SF,Marco Belinelli (13871292),Marco Belinelli,13871292,SG/SF/F/G/UTIL,3000,LAC@SA 11/29/2019 08:30PM ET,SA,9.89
PF/C,Patrick Patterson (13871297),Patrick Patterson,13871297,PF/C/F/UTIL,3000,LAC@SA 11/29/2019 08:30PM ET,LAC,10.12
