Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (14130505),Rudy Gobert,14130505,CPT,15900,UTA@BKN 01/14/2020 07:30PM ET,UTA,40.47
PG,Kyrie Irving (14130506),Kyrie Irving,14130506,CPT,15300,UTA@BKN 01/14/2020 07:30PM ET,BKN,48.56
PG/SG,Donovan Mitchell (14130507),Donovan Mitchell,14130507,CPT,13800,UTA@BKN 01/14/2020 07:30PM ET,UTA,38.93
PG/SG,Spencer Dinwiddie (14130508),Spencer Dinwiddie,14130508,CPT,12300,UTA@BKN 01/14/2020 07:30PM ET,BKN,37.70
SF/PF,Bojan Bogdanovic (14130509),Bojan Bogdanovic,14130509,CPT,11700,UTA@BKN 01/14/2020 07:30PM ET,UTA,31.05
SG/SF,Joe Ingles (14130510),Joe Ingles,14130510,CPT,11100,UTA@BKN 01/14/2020 07:30PM ET,UTA,25.35
C,Jarrett Allen (14130511),Jarrett Allen,14130511,CPT,10800,UTA@BKN 01/14/2020 07:30PM ET,BKN,29.91
C,Rudy Gobert (14130471),Rudy Gobert,14130471,UTIL,10600,UTA@BKN 01/14/2020 07:30PM ET,UTA,40.47
PG/SG,Jordan Clarkson (14130512),Jordan Clarkson,14130512,CPT,10500,UTA@BKN 01/14/2020 07:30PM ET,UTA,23.02
PG,Kyrie Irving (14130472),Kyrie Irving,14130472,UTIL,10200,UTA@BKN 01/14/2020 07:30PM ET,BKN,48.56
SF/PF,Taurean Prince (14130513),Taurean Prince,14130513,CPT,9600,UTA@BKN 01/14/2020 07:30PM ET,BKN,27.05
PG/SG,Donovan Mitchell (14130473),Donovan Mitchell,14130473,UTIL,9200,UTA@BKN 01/14/2020 07:30PM ET,UTA,38.93
PG/SF,Caris LeVert (14130514),Caris LeVert,14130514,CPT,9000,UTA@BKN 01/14/2020 07:30PM ET,BKN,27.31
SG/SF,Joe Harris (14130515),Joe Harris,14130515,CPT,8400,UTA@BKN 01/14/2020 07:30PM ET,BKN,25.38
PG/SG,Spencer Dinwiddie (14130474),Spencer Dinwiddie,14130474,UTIL,8200,UTA@BKN 01/14/2020 07:30PM ET,BKN,37.70
PG,Emmanuel Mudiay (14130516),Emmanuel Mudiay,14130516,CPT,8100,UTA@BKN 01/14/2020 07:30PM ET,UTA,15.90
SF/PF,Bojan Bogdanovic (14130475),Bojan Bogdanovic,14130475,UTIL,7800,UTA@BKN 01/14/2020 07:30PM ET,UTA,31.05
PG,Mike Conley (14130517),Mike Conley,14130517,CPT,7800,UTA@BKN 01/14/2020 07:30PM ET,UTA,26.40
SG/SF,Joe Ingles (14130476),Joe Ingles,14130476,UTIL,7400,UTA@BKN 01/14/2020 07:30PM ET,UTA,25.35
C,Jarrett Allen (14130477),Jarrett Allen,14130477,UTIL,7200,UTA@BKN 01/14/2020 07:30PM ET,BKN,29.91
