Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (14208125),Nikola Jokic,14208125,CPT,19200,UTA@DEN 01/30/2020 10:30PM ET,DEN,46.11
C,Rudy Gobert (14208126),Rudy Gobert,14208126,CPT,15600,UTA@DEN 01/30/2020 10:30PM ET,UTA,41.95
PG/SG,Donovan Mitchell (14208127),Donovan Mitchell,14208127,CPT,14100,UTA@DEN 01/30/2020 10:30PM ET,UTA,39.51
PF/C,Jerami Grant (14208128),Jerami Grant,14208128,CPT,12900,UTA@DEN 01/30/2020 10:30PM ET,DEN,20.13
C,Nikola Jokic (14208092),Nikola Jokic,14208092,UTIL,12800,UTA@DEN 01/30/2020 10:30PM ET,DEN,46.11
SF/PF,Bojan Bogdanovic (14208129),Bojan Bogdanovic,14208129,CPT,12300,UTA@DEN 01/30/2020 10:30PM ET,UTA,31.03
PG/SF,Will Barton (14208130),Will Barton,14208130,CPT,12000,UTA@DEN 01/30/2020 10:30PM ET,DEN,32.16
PG,Jamal Murray (14208131),Jamal Murray,14208131,CPT,11400,UTA@DEN 01/30/2020 10:30PM ET,DEN,32.58
SF/PF,Michael Porter Jr. (14208132),Michael Porter Jr.,14208132,CPT,11100,UTA@DEN 01/30/2020 10:30PM ET,DEN,15.58
PG,Monte Morris (14208133),Monte Morris,14208133,CPT,10800,UTA@DEN 01/30/2020 10:30PM ET,DEN,17.22
C,Rudy Gobert (14208093),Rudy Gobert,14208093,UTIL,10400,UTA@DEN 01/30/2020 10:30PM ET,UTA,41.95
SG/SF,Joe Ingles (14208134),Joe Ingles,14208134,CPT,9600,UTA@DEN 01/30/2020 10:30PM ET,UTA,25.53
PG/SG,Donovan Mitchell (14208094),Donovan Mitchell,14208094,UTIL,9400,UTA@DEN 01/30/2020 10:30PM ET,UTA,39.51
PF/C,Jerami Grant (14208095),Jerami Grant,14208095,UTIL,8600,UTA@DEN 01/30/2020 10:30PM ET,DEN,20.13
SF/PF,Bojan Bogdanovic (14208096),Bojan Bogdanovic,14208096,UTIL,8200,UTA@DEN 01/30/2020 10:30PM ET,UTA,31.03
PG/SF,Will Barton (14208097),Will Barton,14208097,UTIL,8000,UTA@DEN 01/30/2020 10:30PM ET,DEN,32.16
PF/C,Paul Millsap (14208135),Paul Millsap,14208135,CPT,7800,UTA@DEN 01/30/2020 10:30PM ET,DEN,24.34
PG,Jamal Murray (14208098),Jamal Murray,14208098,UTIL,7600,UTA@DEN 01/30/2020 10:30PM ET,DEN,32.58
PG,Mike Conley (14208136),Mike Conley,14208136,CPT,7500,UTA@DEN 01/30/2020 10:30PM ET,UTA,23.87
SF/PF,Michael Porter Jr. (14208099),Michael Porter Jr.,14208099,UTIL,7400,UTA@DEN 01/30/2020 10:30PM ET,DEN,15.58
PG,Monte Morris (14208100),Monte Morris,14208100,UTIL,7200,UTA@DEN 01/30/2020 10:30PM ET,DEN,17.22
SF,Royce O'Neale (14208137),Royce O'Neale,14208137,CPT,7200,UTA@DEN 01/30/2020 10:30PM ET,UTA,19.27
PF/C,Mason Plumlee (14208138),Mason Plumlee,14208138,CPT,6900,UTA@DEN 01/30/2020 10:30PM ET,DEN,19.55
PG/SG,Jordan Clarkson (14208139),Jordan Clarkson,14208139,CPT,6600,UTA@DEN 01/30/2020 10:30PM ET,UTA,22.68
SG/SF,Joe Ingles (14208101),Joe Ingles,14208101,UTIL,6400,UTA@DEN 01/30/2020 10:30PM ET,UTA,25.53
SG,Gary Harris (14208140),Gary Harris,14208140,CPT,6300,UTA@DEN 01/30/2020 10:30PM ET,DEN,21.02
SG/SF,Torrey Craig (14208141),Torrey Craig,14208141,CPT,6000,UTA@DEN 01/30/2020 10:30PM ET,DEN,10.32
PF/C,Paul Millsap (14208102),Paul Millsap,14208102,UTIL,5200,UTA@DEN 01/30/2020 10:30PM ET,DEN,24.34
PG,Mike Conley (14208103),Mike Conley,14208103,UTIL,5000,UTA@DEN 01/30/2020 10:30PM ET,UTA,23.87
SF,Royce O'Neale (14208104),Royce O'Neale,14208104,UTIL,4800,UTA@DEN 01/30/2020 10:30PM ET,UTA,19.27
PG/SG,Malik Beasley (14208142),Malik Beasley,14208142,CPT,4800,UTA@DEN 01/30/2020 10:30PM ET,DEN,13.17
PF/C,Mason Plumlee (14208105),Mason Plumlee,14208105,UTIL,4600,UTA@DEN 01/30/2020 10:30PM ET,DEN,19.55
PG/SG,Jordan Clarkson (14208106),Jordan Clarkson,14208106,UTIL,4400,UTA@DEN 01/30/2020 10:30PM ET,UTA,22.68
SG,Gary Harris (14208107),Gary Harris,14208107,UTIL,4200,UTA@DEN 01/30/2020 10:30PM ET,DEN,21.02
SG/SF,Torrey Craig (14208108),Torrey Craig,14208108,UTIL,4000,UTA@DEN 01/30/2020 10:30PM ET,DEN,10.32
SF/PF,Georges Niang (14208143),Georges Niang,14208143,CPT,3600,UTA@DEN 01/30/2020 10:30PM ET,UTA,10.41
PG/SG,Malik Beasley (14208109),Malik Beasley,14208109,UTIL,3200,UTA@DEN 01/30/2020 10:30PM ET,DEN,13.17
SF/PF,Georges Niang (14208110),Georges Niang,14208110,UTIL,2400,UTA@DEN 01/30/2020 10:30PM ET,UTA,10.41
C,Tony Bradley (14208144),Tony Bradley,14208144,CPT,2400,UTA@DEN 01/30/2020 10:30PM ET,UTA,11.17
PG,Emmanuel Mudiay (14208145),Emmanuel Mudiay,14208145,CPT,1800,UTA@DEN 01/30/2020 10:30PM ET,UTA,15.01
