Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kawhi Leonard (14049820),Kawhi Leonard,14049820,CPT,16800,UTA@LAC 12/28/2019 10:30PM ET,LAC,47.98
C,Rudy Gobert (14049821),Rudy Gobert,14049821,CPT,15900,UTA@LAC 12/28/2019 10:30PM ET,UTA,40.47
PG/SG,Donovan Mitchell (14049822),Donovan Mitchell,14049822,CPT,15300,UTA@LAC 12/28/2019 10:30PM ET,UTA,39.73
SF,Paul George (14049823),Paul George,14049823,CPT,14400,UTA@LAC 12/28/2019 10:30PM ET,LAC,40.60
SF/PF,Bojan Bogdanovic (14049824),Bojan Bogdanovic,14049824,CPT,12900,UTA@LAC 12/28/2019 10:30PM ET,UTA,31.45
SG/SF,Joe Ingles (14049825),Joe Ingles,14049825,CPT,11700,UTA@LAC 12/28/2019 10:30PM ET,UTA,24.11
PG/SG,Lou Williams (14049826),Lou Williams,14049826,CPT,11400,UTA@LAC 12/28/2019 10:30PM ET,LAC,33.03
SF/PF,Kawhi Leonard (14049786),Kawhi Leonard,14049786,UTIL,11200,UTA@LAC 12/28/2019 10:30PM ET,LAC,47.98
PF/C,Montrezl Harrell (14049827),Montrezl Harrell,14049827,CPT,11100,UTA@LAC 12/28/2019 10:30PM ET,LAC,34.06
C,Rudy Gobert (14049787),Rudy Gobert,14049787,UTIL,10600,UTA@LAC 12/28/2019 10:30PM ET,UTA,40.47
PG/SG,Donovan Mitchell (14049788),Donovan Mitchell,14049788,UTIL,10200,UTA@LAC 12/28/2019 10:30PM ET,UTA,39.73
PG,Mike Conley (14049828),Mike Conley,14049828,CPT,9900,UTA@LAC 12/28/2019 10:30PM ET,UTA,26.40
SF,Paul George (14049789),Paul George,14049789,UTIL,9600,UTA@LAC 12/28/2019 10:30PM ET,LAC,40.60
PG/SG,Patrick Beverley (14049829),Patrick Beverley,14049829,CPT,9300,UTA@LAC 12/28/2019 10:30PM ET,LAC,24.96
SF/PF,Bojan Bogdanovic (14049790),Bojan Bogdanovic,14049790,UTIL,8600,UTA@LAC 12/28/2019 10:30PM ET,UTA,31.45
SF,Royce O'Neale (14049830),Royce O'Neale,14049830,CPT,8100,UTA@LAC 12/28/2019 10:30PM ET,UTA,18.94
