Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (13871692),Rudy Gobert,13871692,CPT,14400,UTA@MEM 11/29/2019 08:00PM ET,UTA,38.25
SG,Donovan Mitchell (13871693),Donovan Mitchell,13871693,CPT,13800,UTA@MEM 11/29/2019 08:00PM ET,UTA,40.83
PG,Ja Morant (13871694),Ja Morant,13871694,CPT,13500,UTA@MEM 11/29/2019 08:00PM ET,MEM,35.42
PG,Mike Conley (13871695),Mike Conley,13871695,CPT,12000,UTA@MEM 11/29/2019 08:00PM ET,UTA,27.01
SF,Bojan Bogdanovic (13871696),Bojan Bogdanovic,13871696,CPT,11700,UTA@MEM 11/29/2019 08:00PM ET,UTA,32.19
C,Jonas Valanciunas (13871697),Jonas Valanciunas,13871697,CPT,11400,UTA@MEM 11/29/2019 08:00PM ET,MEM,29.82
PF,Jaren Jackson Jr. (13871698),Jaren Jackson Jr.,13871698,CPT,11100,UTA@MEM 11/29/2019 08:00PM ET,MEM,26.47
C,Tony Bradley (13871699),Tony Bradley,13871699,CPT,10200,UTA@MEM 11/29/2019 08:00PM ET,UTA,11.23
PF,Brandon Clarke (13871700),Brandon Clarke,13871700,CPT,9900,UTA@MEM 11/29/2019 08:00PM ET,MEM,25.16
C,Rudy Gobert (13871658),Rudy Gobert,13871658,UTIL,9600,UTA@MEM 11/29/2019 08:00PM ET,UTA,38.25
SF,Joe Ingles (13871701),Joe Ingles,13871701,CPT,9300,UTA@MEM 11/29/2019 08:00PM ET,UTA,19.61
SG,Donovan Mitchell (13871659),Donovan Mitchell,13871659,UTIL,9200,UTA@MEM 11/29/2019 08:00PM ET,UTA,40.83
PG,Ja Morant (13871660),Ja Morant,13871660,UTIL,9000,UTA@MEM 11/29/2019 08:00PM ET,MEM,35.42
SG,Dillon Brooks (13871702),Dillon Brooks,13871702,CPT,8700,UTA@MEM 11/29/2019 08:00PM ET,MEM,23.18
SF,Jae Crowder (13871703),Jae Crowder,13871703,CPT,8400,UTA@MEM 11/29/2019 08:00PM ET,MEM,25.71
PG,Mike Conley (13871661),Mike Conley,13871661,UTIL,8000,UTA@MEM 11/29/2019 08:00PM ET,UTA,27.01
SF,Bojan Bogdanovic (13871662),Bojan Bogdanovic,13871662,UTIL,7800,UTA@MEM 11/29/2019 08:00PM ET,UTA,32.19
C,Jonas Valanciunas (13871663),Jonas Valanciunas,13871663,UTIL,7600,UTA@MEM 11/29/2019 08:00PM ET,MEM,29.82
PF,Jaren Jackson Jr. (13871664),Jaren Jackson Jr.,13871664,UTIL,7400,UTA@MEM 11/29/2019 08:00PM ET,MEM,26.47
SF,Royce O'Neale (13871704),Royce O'Neale,13871704,CPT,7200,UTA@MEM 11/29/2019 08:00PM ET,UTA,17.43
C,Tony Bradley (13871665),Tony Bradley,13871665,UTIL,6800,UTA@MEM 11/29/2019 08:00PM ET,UTA,11.23
PF,Brandon Clarke (13871666),Brandon Clarke,13871666,UTIL,6600,UTA@MEM 11/29/2019 08:00PM ET,MEM,25.16
PG,Emmanuel Mudiay (13871705),Emmanuel Mudiay,13871705,CPT,6300,UTA@MEM 11/29/2019 08:00PM ET,UTA,16.38
SF,Joe Ingles (13871667),Joe Ingles,13871667,UTIL,6200,UTA@MEM 11/29/2019 08:00PM ET,UTA,19.61
SF,Kyle Anderson (13871706),Kyle Anderson,13871706,CPT,6000,UTA@MEM 11/29/2019 08:00PM ET,MEM,19.42
SG,Dillon Brooks (13871668),Dillon Brooks,13871668,UTIL,5800,UTA@MEM 11/29/2019 08:00PM ET,MEM,23.18
SF,Jeff Green (13871707),Jeff Green,13871707,CPT,5700,UTA@MEM 11/29/2019 08:00PM ET,UTA,14.04
SF,Jae Crowder (13871669),Jae Crowder,13871669,UTIL,5600,UTA@MEM 11/29/2019 08:00PM ET,MEM,25.71
SF,Georges Niang (13871708),Georges Niang,13871708,CPT,5400,UTA@MEM 11/29/2019 08:00PM ET,UTA,6.85
SF,Royce O'Neale (13871670),Royce O'Neale,13871670,UTIL,4800,UTA@MEM 11/29/2019 08:00PM ET,UTA,17.43
PG,Emmanuel Mudiay (13871671),Emmanuel Mudiay,13871671,UTIL,4200,UTA@MEM 11/29/2019 08:00PM ET,UTA,16.38
SF,Kyle Anderson (13871672),Kyle Anderson,13871672,UTIL,4000,UTA@MEM 11/29/2019 08:00PM ET,MEM,19.42
SF,Jeff Green (13871673),Jeff Green,13871673,UTIL,3800,UTA@MEM 11/29/2019 08:00PM ET,UTA,14.04
SF,Georges Niang (13871674),Georges Niang,13871674,UTIL,3600,UTA@MEM 11/29/2019 08:00PM ET,UTA,6.85
