Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (14023203),Rudy Gobert,14023203,CPT,15300,UTA@MIA 12/23/2019 07:30PM ET,UTA,39.94
C,Bam Adebayo (14023204),Bam Adebayo,14023204,CPT,14400,UTA@MIA 12/23/2019 07:30PM ET,MIA,40.65
PG/SG,Donovan Mitchell (14023205),Donovan Mitchell,14023205,CPT,13800,UTA@MIA 12/23/2019 07:30PM ET,UTA,39.66
SG/SF,Jimmy Butler (14023206),Jimmy Butler,14023206,CPT,13200,UTA@MIA 12/23/2019 07:30PM ET,MIA,43.89
SF/PF,Bojan Bogdanovic (14023207),Bojan Bogdanovic,14023207,CPT,12300,UTA@MIA 12/23/2019 07:30PM ET,UTA,31.84
SG/SF,Joe Ingles (14023208),Joe Ingles,14023208,CPT,11100,UTA@MIA 12/23/2019 07:30PM ET,UTA,22.94
PG/SG,Kendrick Nunn (14023209),Kendrick Nunn,14023209,CPT,10500,UTA@MIA 12/23/2019 07:30PM ET,MIA,27.91
C,Rudy Gobert (14023170),Rudy Gobert,14023170,UTIL,10200,UTA@MIA 12/23/2019 07:30PM ET,UTA,39.94
PG/SF,Justise Winslow (14023210),Justise Winslow,14023210,CPT,10200,UTA@MIA 12/23/2019 07:30PM ET,MIA,29.22
C,Bam Adebayo (14023171),Bam Adebayo,14023171,UTIL,9600,UTA@MIA 12/23/2019 07:30PM ET,MIA,40.65
PG,Goran Dragic (14023211),Goran Dragic,14023211,CPT,9600,UTA@MIA 12/23/2019 07:30PM ET,MIA,29.30
PG/SG,Donovan Mitchell (14023172),Donovan Mitchell,14023172,UTIL,9200,UTA@MIA 12/23/2019 07:30PM ET,UTA,39.66
PG,Mike Conley (14023212),Mike Conley,14023212,CPT,9000,UTA@MIA 12/23/2019 07:30PM ET,UTA,26.40
SG/SF,Jimmy Butler (14023173),Jimmy Butler,14023173,UTIL,8800,UTA@MIA 12/23/2019 07:30PM ET,MIA,43.89
SF/PF,Bojan Bogdanovic (14023174),Bojan Bogdanovic,14023174,UTIL,8200,UTA@MIA 12/23/2019 07:30PM ET,UTA,31.84
SG,Tyler Herro (14023213),Tyler Herro,14023213,CPT,8100,UTA@MIA 12/23/2019 07:30PM ET,MIA,23.87
SG/SF,Duncan Robinson (14023214),Duncan Robinson,14023214,CPT,7800,UTA@MIA 12/23/2019 07:30PM ET,MIA,20.48
SF/PF,Derrick Jones Jr. (14023215),Derrick Jones Jr.,14023215,CPT,7500,UTA@MIA 12/23/2019 07:30PM ET,MIA,16.62
SG/SF,Joe Ingles (14023175),Joe Ingles,14023175,UTIL,7400,UTA@MIA 12/23/2019 07:30PM ET,UTA,22.94
SF,Royce O'Neale (14023216),Royce O'Neale,14023216,CPT,7200,UTA@MIA 12/23/2019 07:30PM ET,UTA,18.89
PG/SG,Kendrick Nunn (14023176),Kendrick Nunn,14023176,UTIL,7000,UTA@MIA 12/23/2019 07:30PM ET,MIA,27.91
PG/SF,Justise Winslow (14023177),Justise Winslow,14023177,UTIL,6800,UTA@MIA 12/23/2019 07:30PM ET,MIA,29.22
PG,Goran Dragic (14023178),Goran Dragic,14023178,UTIL,6400,UTA@MIA 12/23/2019 07:30PM ET,MIA,29.30
PG,Emmanuel Mudiay (14023217),Emmanuel Mudiay,14023217,CPT,6300,UTA@MIA 12/23/2019 07:30PM ET,UTA,14.61
PG,Mike Conley (14023179),Mike Conley,14023179,UTIL,6000,UTA@MIA 12/23/2019 07:30PM ET,UTA,26.40
PF/C,Kelly Olynyk (14023218),Kelly Olynyk,14023218,CPT,6000,UTA@MIA 12/23/2019 07:30PM ET,MIA,19.61
SG,Tyler Herro (14023180),Tyler Herro,14023180,UTIL,5400,UTA@MIA 12/23/2019 07:30PM ET,MIA,23.87
PF/C,Meyers Leonard (14023219),Meyers Leonard,14023219,CPT,5400,UTA@MIA 12/23/2019 07:30PM ET,MIA,14.38
SG/SF,Duncan Robinson (14023181),Duncan Robinson,14023181,UTIL,5200,UTA@MIA 12/23/2019 07:30PM ET,MIA,20.48
SG/SF,Dion Waiters (14023220),Dion Waiters,14023220,CPT,5100,UTA@MIA 12/23/2019 07:30PM ET,MIA,0
SF/PF,Derrick Jones Jr. (14023182),Derrick Jones Jr.,14023182,UTIL,5000,UTA@MIA 12/23/2019 07:30PM ET,MIA,16.62
