Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Brandon Ingram (14089249),Brandon Ingram,14089249,CPT,15600,UTA@NO 01/06/2020 08:00PM ET,NO,42.67
PG/SG,Donovan Mitchell (14089250),Donovan Mitchell,14089250,CPT,14400,UTA@NO 01/06/2020 08:00PM ET,UTA,39.93
C,Rudy Gobert (14089251),Rudy Gobert,14089251,CPT,13800,UTA@NO 01/06/2020 08:00PM ET,UTA,40.02
PG/SG,Jrue Holiday (14089252),Jrue Holiday,14089252,CPT,12900,UTA@NO 01/06/2020 08:00PM ET,NO,39.90
PF/C,Derrick Favors (14089253),Derrick Favors,14089253,CPT,12600,UTA@NO 01/06/2020 08:00PM ET,NO,27.98
PG,Lonzo Ball (14089254),Lonzo Ball,14089254,CPT,12000,UTA@NO 01/06/2020 08:00PM ET,NO,29.44
PF/C,Zion Williamson (14089255),Zion Williamson,14089255,CPT,11100,UTA@NO 01/06/2020 08:00PM ET,NO,0
SF/PF,Bojan Bogdanovic (14089256),Bojan Bogdanovic,14089256,CPT,10800,UTA@NO 01/06/2020 08:00PM ET,UTA,30.87
SF/PF,Brandon Ingram (14089215),Brandon Ingram,14089215,UTIL,10400,UTA@NO 01/06/2020 08:00PM ET,NO,42.67
SG/SF,Joe Ingles (14089257),Joe Ingles,14089257,CPT,9900,UTA@NO 01/06/2020 08:00PM ET,UTA,24.77
PG/SG,Donovan Mitchell (14089216),Donovan Mitchell,14089216,UTIL,9600,UTA@NO 01/06/2020 08:00PM ET,UTA,39.93
C,Rudy Gobert (14089217),Rudy Gobert,14089217,UTIL,9200,UTA@NO 01/06/2020 08:00PM ET,UTA,40.02
PG,Mike Conley (14089258),Mike Conley,14089258,CPT,8700,UTA@NO 01/06/2020 08:00PM ET,UTA,26.40
PG/SG,Jrue Holiday (14089218),Jrue Holiday,14089218,UTIL,8600,UTA@NO 01/06/2020 08:00PM ET,NO,39.90
PF/C,Derrick Favors (14089219),Derrick Favors,14089219,UTIL,8400,UTA@NO 01/06/2020 08:00PM ET,NO,27.98
PG/SG,Jordan Clarkson (14089259),Jordan Clarkson,14089259,CPT,8100,UTA@NO 01/06/2020 08:00PM ET,UTA,22.68
PG,Lonzo Ball (14089220),Lonzo Ball,14089220,UTIL,8000,UTA@NO 01/06/2020 08:00PM ET,NO,29.44
SG/SF,Josh Hart (14089260),Josh Hart,14089260,CPT,7500,UTA@NO 01/06/2020 08:00PM ET,NO,23.60
PF/C,Zion Williamson (14089221),Zion Williamson,14089221,UTIL,7400,UTA@NO 01/06/2020 08:00PM ET,NO,0
SF/PF,Bojan Bogdanovic (14089222),Bojan Bogdanovic,14089222,UTIL,7200,UTA@NO 01/06/2020 08:00PM ET,UTA,30.87
SG/SF,JJ Redick (14089261),JJ Redick,14089261,CPT,7200,UTA@NO 01/06/2020 08:00PM ET,NO,23.97
SG/SF,Joe Ingles (14089223),Joe Ingles,14089223,UTIL,6600,UTA@NO 01/06/2020 08:00PM ET,UTA,24.77
SG/SF,E'Twaun Moore (14089262),E'Twaun Moore,14089262,CPT,6300,UTA@NO 01/06/2020 08:00PM ET,NO,18.06
PG,Mike Conley (14089224),Mike Conley,14089224,UTIL,5800,UTA@NO 01/06/2020 08:00PM ET,UTA,26.40
SF,Royce O'Neale (14089263),Royce O'Neale,14089263,CPT,5700,UTA@NO 01/06/2020 08:00PM ET,UTA,18.7
PG/SG,Jordan Clarkson (14089225),Jordan Clarkson,14089225,UTIL,5400,UTA@NO 01/06/2020 08:00PM ET,UTA,22.68
SG/SF,Josh Hart (14089226),Josh Hart,14089226,UTIL,5000,UTA@NO 01/06/2020 08:00PM ET,NO,23.60
