Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (14202420),Rudy Gobert,14202420,CPT,17100,UTA@SA 01/29/2020 08:30PM ET,UTA,41.99
SG/SF,DeMar DeRozan (14202421),DeMar DeRozan,14202421,CPT,15900,UTA@SA 01/29/2020 08:30PM ET,SA,39.17
PG/SG,Donovan Mitchell (14202422),Donovan Mitchell,14202422,CPT,15000,UTA@SA 01/29/2020 08:30PM ET,UTA,39.49
PF/C,LaMarcus Aldridge (14202423),LaMarcus Aldridge,14202423,CPT,14100,UTA@SA 01/29/2020 08:30PM ET,SA,36.96
SF/PF,Bojan Bogdanovic (14202424),Bojan Bogdanovic,14202424,CPT,12900,UTA@SA 01/29/2020 08:30PM ET,UTA,30.94
C,Jakob Poeltl (14202425),Jakob Poeltl,14202425,CPT,11700,UTA@SA 01/29/2020 08:30PM ET,SA,18.82
C,Rudy Gobert (14202386),Rudy Gobert,14202386,UTIL,11400,UTA@SA 01/29/2020 08:30PM ET,UTA,41.99
SG/SF,DeMar DeRozan (14202387),DeMar DeRozan,14202387,UTIL,10600,UTA@SA 01/29/2020 08:30PM ET,SA,39.17
SG/SF,Joe Ingles (14202426),Joe Ingles,14202426,CPT,10500,UTA@SA 01/29/2020 08:30PM ET,UTA,25.74
PG/SG,Donovan Mitchell (14202388),Donovan Mitchell,14202388,UTIL,10000,UTA@SA 01/29/2020 08:30PM ET,UTA,39.49
PF/C,LaMarcus Aldridge (14202389),LaMarcus Aldridge,14202389,UTIL,9400,UTA@SA 01/29/2020 08:30PM ET,SA,36.96
PG/SG,Derrick White (14202427),Derrick White,14202427,CPT,9300,UTA@SA 01/29/2020 08:30PM ET,SA,21.44
SF/PF,Bojan Bogdanovic (14202390),Bojan Bogdanovic,14202390,UTIL,8600,UTA@SA 01/29/2020 08:30PM ET,UTA,30.94
PG,Dejounte Murray (14202428),Dejounte Murray,14202428,CPT,8100,UTA@SA 01/29/2020 08:30PM ET,SA,26.12
C,Jakob Poeltl (14202391),Jakob Poeltl,14202391,UTIL,7800,UTA@SA 01/29/2020 08:30PM ET,SA,18.82
PG/SG,Jordan Clarkson (14202429),Jordan Clarkson,14202429,CPT,7500,UTA@SA 01/29/2020 08:30PM ET,UTA,22.58
SF,Royce O'Neale (14202430),Royce O'Neale,14202430,CPT,7200,UTA@SA 01/29/2020 08:30PM ET,UTA,19.17
SG/SF,Joe Ingles (14202392),Joe Ingles,14202392,UTIL,7000,UTA@SA 01/29/2020 08:30PM ET,UTA,25.74
PG/SG,Patty Mills (14202431),Patty Mills,14202431,CPT,6900,UTA@SA 01/29/2020 08:30PM ET,SA,19.41
PG,Mike Conley (14202432),Mike Conley,14202432,CPT,6600,UTA@SA 01/29/2020 08:30PM ET,UTA,24.25
PF/C,Trey Lyles (14202433),Trey Lyles,14202433,CPT,6300,UTA@SA 01/29/2020 08:30PM ET,SA,14.90
PG/SG,Derrick White (14202393),Derrick White,14202393,UTIL,6200,UTA@SA 01/29/2020 08:30PM ET,SA,21.44
SF/PF,Rudy Gay (14202434),Rudy Gay,14202434,CPT,6000,UTA@SA 01/29/2020 08:30PM ET,SA,21.82
PG,Dejounte Murray (14202394),Dejounte Murray,14202394,UTIL,5400,UTA@SA 01/29/2020 08:30PM ET,SA,26.12
PG/SG,Jordan Clarkson (14202395),Jordan Clarkson,14202395,UTIL,5000,UTA@SA 01/29/2020 08:30PM ET,UTA,22.58
SF,Royce O'Neale (14202396),Royce O'Neale,14202396,UTIL,4800,UTA@SA 01/29/2020 08:30PM ET,UTA,19.17
PG/SG,Patty Mills (14202397),Patty Mills,14202397,UTIL,4600,UTA@SA 01/29/2020 08:30PM ET,SA,19.41
SF/PF,Georges Niang (14202435),Georges Niang,14202435,CPT,4500,UTA@SA 01/29/2020 08:30PM ET,UTA,10.43
PG,Mike Conley (14202398),Mike Conley,14202398,UTIL,4400,UTA@SA 01/29/2020 08:30PM ET,UTA,24.25
PF/C,Trey Lyles (14202399),Trey Lyles,14202399,UTIL,4200,UTA@SA 01/29/2020 08:30PM ET,SA,14.90
PG/SG,Bryn Forbes (14202436),Bryn Forbes,14202436,CPT,4200,UTA@SA 01/29/2020 08:30PM ET,SA,18.33
SF/PF,Rudy Gay (14202400),Rudy Gay,14202400,UTIL,4000,UTA@SA 01/29/2020 08:30PM ET,SA,21.82
SF,Marco Belinelli (14202437),Marco Belinelli,14202437,CPT,3300,UTA@SA 01/29/2020 08:30PM ET,SA,10.52
SF/PF,Georges Niang (14202401),Georges Niang,14202401,UTIL,3000,UTA@SA 01/29/2020 08:30PM ET,UTA,10.43
C,Tony Bradley (14202438),Tony Bradley,14202438,CPT,3000,UTA@SA 01/29/2020 08:30PM ET,UTA,11.38
PG/SG,Bryn Forbes (14202402),Bryn Forbes,14202402,UTIL,2800,UTA@SA 01/29/2020 08:30PM ET,SA,18.33
SF,Marco Belinelli (14202403),Marco Belinelli,14202403,UTIL,2200,UTA@SA 01/29/2020 08:30PM ET,SA,10.52
PG,Emmanuel Mudiay (14202439),Emmanuel Mudiay,14202439,CPT,2100,UTA@SA 01/29/2020 08:30PM ET,UTA,15.01
C,Tony Bradley (14202404),Tony Bradley,14202404,UTIL,2000,UTA@SA 01/29/2020 08:30PM ET,UTA,11.38
SG/SF,Lonnie Walker IV (14202442),Lonnie Walker IV,14202442,CPT,1800,UTA@SA 01/29/2020 08:30PM ET,SA,10.36
PF/C,Chimezie Metu (14202440),Chimezie Metu,14202440,CPT,1500,UTA@SA 01/29/2020 08:30PM ET,SA,6.04
C,Ed Davis (14202441),Ed Davis,14202441,CPT,1500,UTA@SA 01/29/2020 08:30PM ET,UTA,8.20
