Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Bradley Beal (13938110),Bradley Beal,13938110,CPT,15900,WAS@CHA 12/10/2019 07:00PM ET,WAS,46.34
PG,Devonte' Graham (13938111),Devonte' Graham,13938111,CPT,14700,WAS@CHA 12/10/2019 07:00PM ET,CHA,37.62
PG,Terry Rozier (13938112),Terry Rozier,13938112,CPT,13200,WAS@CHA 12/10/2019 07:00PM ET,CHA,32.06
PF,Rui Hachimura (13938113),Rui Hachimura,13938113,CPT,11700,WAS@CHA 12/10/2019 07:00PM ET,WAS,25.69
PF,Davis Bertans (13938114),Davis Bertans,13938114,CPT,11400,WAS@CHA 12/10/2019 07:00PM ET,WAS,27.03
C,Moritz Wagner (13938115),Moritz Wagner,13938115,CPT,11100,WAS@CHA 12/10/2019 07:00PM ET,WAS,23.51
PF,PJ Washington (13938116),PJ Washington,13938116,CPT,10800,WAS@CHA 12/10/2019 07:00PM ET,CHA,25.11
SG,Bradley Beal (13938076),Bradley Beal,13938076,UTIL,10600,WAS@CHA 12/10/2019 07:00PM ET,WAS,46.34
C,Thomas Bryant (13938117),Thomas Bryant,13938117,CPT,10200,WAS@CHA 12/10/2019 07:00PM ET,WAS,31.49
PG,Ish Smith (13938118),Ish Smith,13938118,CPT,9900,WAS@CHA 12/10/2019 07:00PM ET,WAS,21.19
PG,Devonte' Graham (13938077),Devonte' Graham,13938077,UTIL,9800,WAS@CHA 12/10/2019 07:00PM ET,CHA,37.62
SF,Miles Bridges (13938119),Miles Bridges,13938119,CPT,9600,WAS@CHA 12/10/2019 07:00PM ET,CHA,24.58
SF,Troy Brown (13938120),Troy Brown,13938120,CPT,9000,WAS@CHA 12/10/2019 07:00PM ET,WAS,19.87
PG,Terry Rozier (13938078),Terry Rozier,13938078,UTIL,8800,WAS@CHA 12/10/2019 07:00PM ET,CHA,32.06
PG,Isaiah Thomas (13938121),Isaiah Thomas,13938121,CPT,8700,WAS@CHA 12/10/2019 07:00PM ET,WAS,23.87
PF,Rui Hachimura (13938079),Rui Hachimura,13938079,UTIL,7800,WAS@CHA 12/10/2019 07:00PM ET,WAS,25.69
C,Cody Zeller (13938122),Cody Zeller,13938122,CPT,7800,WAS@CHA 12/10/2019 07:00PM ET,CHA,24.43
PF,Davis Bertans (13938080),Davis Bertans,13938080,UTIL,7600,WAS@CHA 12/10/2019 07:00PM ET,WAS,27.03
C,Moritz Wagner (13938081),Moritz Wagner,13938081,UTIL,7400,WAS@CHA 12/10/2019 07:00PM ET,WAS,23.51
PF,PJ Washington (13938082),PJ Washington,13938082,UTIL,7200,WAS@CHA 12/10/2019 07:00PM ET,CHA,25.11
SG,Jordan McRae (13938123),Jordan McRae,13938123,CPT,7200,WAS@CHA 12/10/2019 07:00PM ET,WAS,17.86
C,Ian Mahinmi (13938124),Ian Mahinmi,13938124,CPT,6900,WAS@CHA 12/10/2019 07:00PM ET,WAS,18.62
C,Thomas Bryant (13938083),Thomas Bryant,13938083,UTIL,6800,WAS@CHA 12/10/2019 07:00PM ET,WAS,31.49
PG,Ish Smith (13938084),Ish Smith,13938084,UTIL,6600,WAS@CHA 12/10/2019 07:00PM ET,WAS,21.19
SG,Malik Monk (13938125),Malik Monk,13938125,CPT,6600,WAS@CHA 12/10/2019 07:00PM ET,CHA,16.87
SF,Miles Bridges (13938085),Miles Bridges,13938085,UTIL,6400,WAS@CHA 12/10/2019 07:00PM ET,CHA,24.58
C,Bismack Biyombo (13938126),Bismack Biyombo,13938126,CPT,6300,WAS@CHA 12/10/2019 07:00PM ET,CHA,15.86
SF,Troy Brown (13938086),Troy Brown,13938086,UTIL,6000,WAS@CHA 12/10/2019 07:00PM ET,WAS,19.87
PF,Marvin Williams (13938127),Marvin Williams,13938127,CPT,6000,WAS@CHA 12/10/2019 07:00PM ET,CHA,15.01
PG,Isaiah Thomas (13938087),Isaiah Thomas,13938087,UTIL,5800,WAS@CHA 12/10/2019 07:00PM ET,WAS,23.87
SG,Nicolas Batum (13938128),Nicolas Batum,13938128,CPT,5700,WAS@CHA 12/10/2019 07:00PM ET,CHA,16.15
SG,Dwayne Bacon (13938129),Dwayne Bacon,13938129,CPT,5400,WAS@CHA 12/10/2019 07:00PM ET,CHA,13.47
C,Cody Zeller (13938088),Cody Zeller,13938088,UTIL,5200,WAS@CHA 12/10/2019 07:00PM ET,CHA,24.43
SG,Jordan McRae (13938089),Jordan McRae,13938089,UTIL,4800,WAS@CHA 12/10/2019 07:00PM ET,WAS,17.86
C,Ian Mahinmi (13938090),Ian Mahinmi,13938090,UTIL,4600,WAS@CHA 12/10/2019 07:00PM ET,WAS,18.62
SG,Malik Monk (13938091),Malik Monk,13938091,UTIL,4400,WAS@CHA 12/10/2019 07:00PM ET,CHA,16.87
C,Bismack Biyombo (13938092),Bismack Biyombo,13938092,UTIL,4200,WAS@CHA 12/10/2019 07:00PM ET,CHA,15.86
SF,Michael Kidd-Gilchrist (13938130),Michael Kidd-Gilchrist,13938130,CPT,4200,WAS@CHA 12/10/2019 07:00PM ET,CHA,10.58
PF,Marvin Williams (13938093),Marvin Williams,13938093,UTIL,4000,WAS@CHA 12/10/2019 07:00PM ET,CHA,15.01
SG,Nicolas Batum (13938094),Nicolas Batum,13938094,UTIL,3800,WAS@CHA 12/10/2019 07:00PM ET,CHA,16.15
SG,Dwayne Bacon (13938095),Dwayne Bacon,13938095,UTIL,3600,WAS@CHA 12/10/2019 07:00PM ET,CHA,13.47
PG,Chris Chiozza (13938131),Chris Chiozza,13938131,CPT,3000,WAS@CHA 12/10/2019 07:00PM ET,WAS,9.53
SF,Michael Kidd-Gilchrist (13938096),Michael Kidd-Gilchrist,13938096,UTIL,2800,WAS@CHA 12/10/2019 07:00PM ET,CHA,10.58
C,Isaac Bonga (13938132),Isaac Bonga,13938132,CPT,2700,WAS@CHA 12/10/2019 07:00PM ET,WAS,10.46
PG,Chris Chiozza (13938097),Chris Chiozza,13938097,UTIL,2000,WAS@CHA 12/10/2019 07:00PM ET,WAS,9.53
C,Isaac Bonga (13938098),Isaac Bonga,13938098,UTIL,1800,WAS@CHA 12/10/2019 07:00PM ET,WAS,10.46
SF,C.J. Miles (13938133),C.J. Miles,13938133,CPT,1800,WAS@CHA 12/10/2019 07:00PM ET,WAS,12.85
SG,Caleb Martin (13938134),Caleb Martin,13938134,CPT,1800,WAS@CHA 12/10/2019 07:00PM ET,CHA,5.56
SF,Cody Martin (13938135),Cody Martin,13938135,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,CHA,8.53
SF,Admiral Schofield (13938136),Admiral Schofield,13938136,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,WAS,4.19
C,Guillermo Hernangomez (13938137),Guillermo Hernangomez,13938137,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,CHA,7.47
PG,Justin Robinson (13938138),Justin Robinson,13938138,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,WAS,2.25
SG,Kobi Simmons (13938139),Kobi Simmons,13938139,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,CHA,0
PF,Robert Franks (13938140),Robert Franks,13938140,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,CHA,0
PF,Jalen McDaniels (13938141),Jalen McDaniels,13938141,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,CHA,3.25
SG,Garrison Mathews (13938142),Garrison Mathews,13938142,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,WAS,1.88
PG,John Wall (13938143),John Wall,13938143,CPT,1500,WAS@CHA 12/10/2019 07:00PM ET,WAS,0
SF,C.J. Miles (13938099),C.J. Miles,13938099,UTIL,1200,WAS@CHA 12/10/2019 07:00PM ET,WAS,12.85
SG,Caleb Martin (13938100),Caleb Martin,13938100,UTIL,1200,WAS@CHA 12/10/2019 07:00PM ET,CHA,5.56
SF,Cody Martin (13938101),Cody Martin,13938101,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,CHA,8.53
SF,Admiral Schofield (13938102),Admiral Schofield,13938102,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,WAS,4.19
C,Guillermo Hernangomez (13938103),Guillermo Hernangomez,13938103,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,CHA,7.47
PG,Justin Robinson (13938104),Justin Robinson,13938104,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,WAS,2.25
SG,Kobi Simmons (13938105),Kobi Simmons,13938105,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,CHA,0
PF,Robert Franks (13938106),Robert Franks,13938106,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,CHA,0
PF,Jalen McDaniels (13938107),Jalen McDaniels,13938107,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,CHA,3.25
SG,Garrison Mathews (13938108),Garrison Mathews,13938108,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,WAS,1.88
PG,John Wall (13938109),John Wall,13938109,UTIL,1000,WAS@CHA 12/10/2019 07:00PM ET,WAS,0
