Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Kevin Love (14172728),Kevin Love,14172728,CPT,15000,WAS@CLE 01/23/2020 07:00PM ET,CLE,36.66
SG/SF,Bradley Beal (14172729),Bradley Beal,14172729,CPT,14100,WAS@CLE 01/23/2020 07:00PM ET,WAS,45.24
C,Tristan Thompson (14172730),Tristan Thompson,14172730,CPT,13500,WAS@CLE 01/23/2020 07:00PM ET,CLE,32.24
PG/SG,Collin Sexton (14172731),Collin Sexton,14172731,CPT,12300,WAS@CLE 01/23/2020 07:00PM ET,CLE,28.44
PG,Darius Garland (14172732),Darius Garland,14172732,CPT,11100,WAS@CLE 01/23/2020 07:00PM ET,CLE,21.34
C,Ian Mahinmi (14172733),Ian Mahinmi,14172733,CPT,10200,WAS@CLE 01/23/2020 07:00PM ET,WAS,22.56
PF,Kevin Love (14172695),Kevin Love,14172695,UTIL,10000,WAS@CLE 01/23/2020 07:00PM ET,CLE,36.66
PF/C,Larry Nance Jr. (14172734),Larry Nance Jr.,14172734,CPT,9900,WAS@CLE 01/23/2020 07:00PM ET,CLE,21.81
C,Moritz Wagner (14172735),Moritz Wagner,14172735,CPT,9600,WAS@CLE 01/23/2020 07:00PM ET,WAS,23.49
SG/SF,Bradley Beal (14172696),Bradley Beal,14172696,UTIL,9400,WAS@CLE 01/23/2020 07:00PM ET,WAS,45.24
PG/SG,Jordan McRae (14172736),Jordan McRae,14172736,CPT,9300,WAS@CLE 01/23/2020 07:00PM ET,WAS,24.31
C,Tristan Thompson (14172697),Tristan Thompson,14172697,UTIL,9000,WAS@CLE 01/23/2020 07:00PM ET,CLE,32.24
PF,Davis Bertans (14172737),Davis Bertans,14172737,CPT,8700,WAS@CLE 01/23/2020 07:00PM ET,WAS,27.74
C,Rui Hachimura (14172738),Rui Hachimura,14172738,CPT,8400,WAS@CLE 01/23/2020 07:00PM ET,WAS,25.17
PG/SG,Collin Sexton (14172698),Collin Sexton,14172698,UTIL,8200,WAS@CLE 01/23/2020 07:00PM ET,CLE,28.44
PG,Ish Smith (14172739),Ish Smith,14172739,CPT,8100,WAS@CLE 01/23/2020 07:00PM ET,WAS,23.74
C,Thomas Bryant (14172740),Thomas Bryant,14172740,CPT,7800,WAS@CLE 01/23/2020 07:00PM ET,WAS,27.72
SF/PF,Troy Brown Jr. (14172741),Troy Brown Jr.,14172741,CPT,7500,WAS@CLE 01/23/2020 07:00PM ET,WAS,23.7
PG,Darius Garland (14172699),Darius Garland,14172699,UTIL,7400,WAS@CLE 01/23/2020 07:00PM ET,CLE,21.34
SF/PF,Cedi Osman (14172742),Cedi Osman,14172742,CPT,7200,WAS@CLE 01/23/2020 07:00PM ET,CLE,20.85
SF/PF,Admiral Schofield (14172743),Admiral Schofield,14172743,CPT,6900,WAS@CLE 01/23/2020 07:00PM ET,WAS,7.03
C,Ian Mahinmi (14172700),Ian Mahinmi,14172700,UTIL,6800,WAS@CLE 01/23/2020 07:00PM ET,WAS,22.56
PF/C,Larry Nance Jr. (14172701),Larry Nance Jr.,14172701,UTIL,6600,WAS@CLE 01/23/2020 07:00PM ET,CLE,21.81
SF,Kevin Porter Jr. (14172744),Kevin Porter Jr.,14172744,CPT,6600,WAS@CLE 01/23/2020 07:00PM ET,CLE,17.12
C,Moritz Wagner (14172702),Moritz Wagner,14172702,UTIL,6400,WAS@CLE 01/23/2020 07:00PM ET,WAS,23.49
PG/SG,Jordan McRae (14172703),Jordan McRae,14172703,UTIL,6200,WAS@CLE 01/23/2020 07:00PM ET,WAS,24.31
PF,Davis Bertans (14172704),Davis Bertans,14172704,UTIL,5800,WAS@CLE 01/23/2020 07:00PM ET,WAS,27.74
PG/SG,Dante Exum (14172745),Dante Exum,14172745,CPT,5700,WAS@CLE 01/23/2020 07:00PM ET,CLE,8.5
C,Rui Hachimura (14172705),Rui Hachimura,14172705,UTIL,5600,WAS@CLE 01/23/2020 07:00PM ET,WAS,25.17
PG,Ish Smith (14172706),Ish Smith,14172706,UTIL,5400,WAS@CLE 01/23/2020 07:00PM ET,WAS,23.74
PG/SG,Gary Payton II (14172746),Gary Payton II,14172746,CPT,5400,WAS@CLE 01/23/2020 07:00PM ET,WAS,18.98
C,Thomas Bryant (14172707),Thomas Bryant,14172707,UTIL,5200,WAS@CLE 01/23/2020 07:00PM ET,WAS,27.72
SF/PF,Troy Brown Jr. (14172708),Troy Brown Jr.,14172708,UTIL,5000,WAS@CLE 01/23/2020 07:00PM ET,WAS,23.7
