Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Bradley Beal (13882330),Bradley Beal,13882330,CPT,16500,WAS@LAC 12/01/2019 10:30PM ET,WAS,46.90
SF,Kawhi Leonard (13882331),Kawhi Leonard,13882331,CPT,16200,WAS@LAC 12/01/2019 10:30PM ET,LAC,48.77
SF,Paul George (13882332),Paul George,13882332,CPT,15300,WAS@LAC 12/01/2019 10:30PM ET,LAC,39.75
SG,Lou Williams (13882333),Lou Williams,13882333,CPT,12600,WAS@LAC 12/01/2019 10:30PM ET,LAC,36.38
C,Montrezl Harrell (13882334),Montrezl Harrell,13882334,CPT,11700,WAS@LAC 12/01/2019 10:30PM ET,LAC,35.15
C,Thomas Bryant (13882335),Thomas Bryant,13882335,CPT,11400,WAS@LAC 12/01/2019 10:30PM ET,WAS,31.98
SG,Bradley Beal (13882296),Bradley Beal,13882296,UTIL,11000,WAS@LAC 12/01/2019 10:30PM ET,WAS,46.90
SF,Kawhi Leonard (13882297),Kawhi Leonard,13882297,UTIL,10800,WAS@LAC 12/01/2019 10:30PM ET,LAC,48.77
SF,Paul George (13882298),Paul George,13882298,UTIL,10200,WAS@LAC 12/01/2019 10:30PM ET,LAC,39.75
PF,Davis Bertans (13882336),Davis Bertans,13882336,CPT,9600,WAS@LAC 12/01/2019 10:30PM ET,WAS,24.44
PG,Patrick Beverley (13882337),Patrick Beverley,13882337,CPT,8700,WAS@LAC 12/01/2019 10:30PM ET,LAC,24.53
SG,Lou Williams (13882299),Lou Williams,13882299,UTIL,8400,WAS@LAC 12/01/2019 10:30PM ET,LAC,36.38
SG,Jordan McRae (13882338),Jordan McRae,13882338,CPT,8400,WAS@LAC 12/01/2019 10:30PM ET,WAS,18.11
PF,JaMychal Green (13882339),JaMychal Green,13882339,CPT,8100,WAS@LAC 12/01/2019 10:30PM ET,LAC,19.85
C,Montrezl Harrell (13882300),Montrezl Harrell,13882300,UTIL,7800,WAS@LAC 12/01/2019 10:30PM ET,LAC,35.15
PF,Rui Hachimura (13882340),Rui Hachimura,13882340,CPT,7800,WAS@LAC 12/01/2019 10:30PM ET,WAS,23.03
C,Thomas Bryant (13882301),Thomas Bryant,13882301,UTIL,7600,WAS@LAC 12/01/2019 10:30PM ET,WAS,31.98
C,Moritz Wagner (13882341),Moritz Wagner,13882341,CPT,7500,WAS@LAC 12/01/2019 10:30PM ET,WAS,23.40
SF,Troy Brown (13882342),Troy Brown,13882342,CPT,6900,WAS@LAC 12/01/2019 10:30PM ET,WAS,18.38
PG,Ish Smith (13882343),Ish Smith,13882343,CPT,6600,WAS@LAC 12/01/2019 10:30PM ET,WAS,20.97
PF,Davis Bertans (13882302),Davis Bertans,13882302,UTIL,6400,WAS@LAC 12/01/2019 10:30PM ET,WAS,24.44
PG,Isaiah Thomas (13882344),Isaiah Thomas,13882344,CPT,6300,WAS@LAC 12/01/2019 10:30PM ET,WAS,22.53
C,Ivica Zubac (13882345),Ivica Zubac,13882345,CPT,6000,WAS@LAC 12/01/2019 10:30PM ET,LAC,20.62
PG,Patrick Beverley (13882303),Patrick Beverley,13882303,UTIL,5800,WAS@LAC 12/01/2019 10:30PM ET,LAC,24.53
SF,Moe Harkless (13882346),Moe Harkless,13882346,CPT,5700,WAS@LAC 12/01/2019 10:30PM ET,LAC,14.74
SG,Jordan McRae (13882304),Jordan McRae,13882304,UTIL,5600,WAS@LAC 12/01/2019 10:30PM ET,WAS,18.11
PF,JaMychal Green (13882305),JaMychal Green,13882305,UTIL,5400,WAS@LAC 12/01/2019 10:30PM ET,LAC,19.85
PF,Rui Hachimura (13882306),Rui Hachimura,13882306,UTIL,5200,WAS@LAC 12/01/2019 10:30PM ET,WAS,23.03
C,Moritz Wagner (13882307),Moritz Wagner,13882307,UTIL,5000,WAS@LAC 12/01/2019 10:30PM ET,WAS,23.40
SF,Troy Brown (13882308),Troy Brown,13882308,UTIL,4600,WAS@LAC 12/01/2019 10:30PM ET,WAS,18.38
PG,Ish Smith (13882309),Ish Smith,13882309,UTIL,4400,WAS@LAC 12/01/2019 10:30PM ET,WAS,20.97
PG,Isaiah Thomas (13882310),Isaiah Thomas,13882310,UTIL,4200,WAS@LAC 12/01/2019 10:30PM ET,WAS,22.53
C,Ivica Zubac (13882311),Ivica Zubac,13882311,UTIL,4000,WAS@LAC 12/01/2019 10:30PM ET,LAC,20.62
SG,Rodney McGruder (13882347),Rodney McGruder,13882347,CPT,3900,WAS@LAC 12/01/2019 10:30PM ET,LAC,9.27
SF,Moe Harkless (13882312),Moe Harkless,13882312,UTIL,3800,WAS@LAC 12/01/2019 10:30PM ET,LAC,14.74
SG,Rodney McGruder (13882313),Rodney McGruder,13882313,UTIL,2600,WAS@LAC 12/01/2019 10:30PM ET,LAC,9.27
PF,Mfiondu Kabengele (13882348),Mfiondu Kabengele,13882348,CPT,2400,WAS@LAC 12/01/2019 10:30PM ET,LAC,5.06
SF,C.J. Miles (13882349),C.J. Miles,13882349,CPT,2100,WAS@LAC 12/01/2019 10:30PM ET,WAS,12.85
SG,Jerome Robinson (13882350),Jerome Robinson,13882350,CPT,1800,WAS@LAC 12/01/2019 10:30PM ET,LAC,7.57
PF,Mfiondu Kabengele (13882314),Mfiondu Kabengele,13882314,UTIL,1600,WAS@LAC 12/01/2019 10:30PM ET,LAC,5.06
PF,Patrick Patterson (13882351),Patrick Patterson,13882351,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,LAC,9.75
SF,Terance Mann (13882352),Terance Mann,13882352,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,LAC,6.30
C,Isaac Bonga (13882353),Isaac Bonga,13882353,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,10.06
SF,Johnathan Motley (13882354),Johnathan Motley,13882354,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,LAC,4
PG,Landry Shamet (13882355),Landry Shamet,13882355,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,LAC,14.98
SF,Admiral Schofield (13882356),Admiral Schofield,13882356,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,5.92
PG,Derrick Walton Jr. (13882357),Derrick Walton Jr.,13882357,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,LAC,1.12
PG,Chris Chiozza (13882358),Chris Chiozza,13882358,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,7.12
SF,Amir Coffey (13882359),Amir Coffey,13882359,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,LAC,0
PG,Justin Robinson (13882360),Justin Robinson,13882360,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,2.81
SG,Garrison Mathews (13882361),Garrison Mathews,13882361,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,1.88
C,Ian Mahinmi (13882362),Ian Mahinmi,13882362,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,0
PG,John Wall (13882363),John Wall,13882363,CPT,1500,WAS@LAC 12/01/2019 10:30PM ET,WAS,0
SF,C.J. Miles (13882315),C.J. Miles,13882315,UTIL,1400,WAS@LAC 12/01/2019 10:30PM ET,WAS,12.85
SG,Jerome Robinson (13882316),Jerome Robinson,13882316,UTIL,1200,WAS@LAC 12/01/2019 10:30PM ET,LAC,7.57
PF,Patrick Patterson (13882317),Patrick Patterson,13882317,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,LAC,9.75
SF,Terance Mann (13882318),Terance Mann,13882318,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,LAC,6.30
C,Isaac Bonga (13882319),Isaac Bonga,13882319,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,10.06
SF,Johnathan Motley (13882320),Johnathan Motley,13882320,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,LAC,4
PG,Landry Shamet (13882321),Landry Shamet,13882321,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,LAC,14.98
SF,Admiral Schofield (13882322),Admiral Schofield,13882322,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,5.92
PG,Derrick Walton Jr. (13882323),Derrick Walton Jr.,13882323,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,LAC,1.12
PG,Chris Chiozza (13882324),Chris Chiozza,13882324,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,7.12
SF,Amir Coffey (13882325),Amir Coffey,13882325,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,LAC,0
PG,Justin Robinson (13882326),Justin Robinson,13882326,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,2.81
SG,Garrison Mathews (13882327),Garrison Mathews,13882327,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,1.88
C,Ian Mahinmi (13882328),Ian Mahinmi,13882328,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,0
PG,John Wall (13882329),John Wall,13882329,UTIL,1000,WAS@LAC 12/01/2019 10:30PM ET,WAS,0
