Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,LeBron James (13871556),LeBron James,13871556,CPT,19500,WAS@LAL 11/29/2019 10:30PM ET,LAL,56.58
PF,Anthony Davis (13871557),Anthony Davis,13871557,CPT,18000,WAS@LAL 11/29/2019 10:30PM ET,LAL,51.31
SG,Bradley Beal (13871558),Bradley Beal,13871558,CPT,16800,WAS@LAL 11/29/2019 10:30PM ET,WAS,47.41
SF,LeBron James (13871522),LeBron James,13871522,UTIL,13000,WAS@LAL 11/29/2019 10:30PM ET,LAL,56.58
PF,Anthony Davis (13871523),Anthony Davis,13871523,UTIL,12000,WAS@LAL 11/29/2019 10:30PM ET,LAL,51.31
C,Thomas Bryant (13871559),Thomas Bryant,13871559,CPT,12000,WAS@LAL 11/29/2019 10:30PM ET,WAS,33.03
SG,Bradley Beal (13871524),Bradley Beal,13871524,UTIL,11200,WAS@LAL 11/29/2019 10:30PM ET,WAS,47.41
PF,Davis Bertans (13871560),Davis Bertans,13871560,CPT,10800,WAS@LAL 11/29/2019 10:30PM ET,WAS,25.14
PG,Rajon Rondo (13871561),Rajon Rondo,13871561,CPT,9600,WAS@LAL 11/29/2019 10:30PM ET,LAL,22.38
C,Moritz Wagner (13871562),Moritz Wagner,13871562,CPT,8700,WAS@LAL 11/29/2019 10:30PM ET,WAS,23.58
SG,Kentavious Caldwell-Pope (13871563),Kentavious Caldwell-Pope,13871563,CPT,8400,WAS@LAL 11/29/2019 10:30PM ET,LAL,14.90
SG,Jordan McRae (13871564),Jordan McRae,13871564,CPT,8100,WAS@LAL 11/29/2019 10:30PM ET,WAS,17.2
C,Thomas Bryant (13871525),Thomas Bryant,13871525,UTIL,8000,WAS@LAL 11/29/2019 10:30PM ET,WAS,33.03
SG,Danny Green (13871565),Danny Green,13871565,CPT,7800,WAS@LAL 11/29/2019 10:30PM ET,LAL,18.60
SF,Kyle Kuzma (13871566),Kyle Kuzma,13871566,CPT,7500,WAS@LAL 11/29/2019 10:30PM ET,LAL,19.14
PF,Davis Bertans (13871526),Davis Bertans,13871526,UTIL,7200,WAS@LAL 11/29/2019 10:30PM ET,WAS,25.14
PF,Rui Hachimura (13871567),Rui Hachimura,13871567,CPT,7200,WAS@LAL 11/29/2019 10:30PM ET,WAS,22.66
C,JaVale McGee (13871568),JaVale McGee,13871568,CPT,6900,WAS@LAL 11/29/2019 10:30PM ET,LAL,18.42
PG,Isaiah Thomas (13871569),Isaiah Thomas,13871569,CPT,6600,WAS@LAL 11/29/2019 10:30PM ET,WAS,23.14
PG,Rajon Rondo (13871527),Rajon Rondo,13871527,UTIL,6400,WAS@LAL 11/29/2019 10:30PM ET,LAL,22.38
SF,Troy Brown (13871570),Troy Brown,13871570,CPT,6000,WAS@LAL 11/29/2019 10:30PM ET,WAS,17.77
C,Moritz Wagner (13871528),Moritz Wagner,13871528,UTIL,5800,WAS@LAL 11/29/2019 10:30PM ET,WAS,23.58
PG,Ish Smith (13871571),Ish Smith,13871571,CPT,5700,WAS@LAL 11/29/2019 10:30PM ET,WAS,20.83
SG,Kentavious Caldwell-Pope (13871529),Kentavious Caldwell-Pope,13871529,UTIL,5600,WAS@LAL 11/29/2019 10:30PM ET,LAL,14.90
SG,Jordan McRae (13871530),Jordan McRae,13871530,UTIL,5400,WAS@LAL 11/29/2019 10:30PM ET,WAS,17.2
SG,Avery Bradley (13871572),Avery Bradley,13871572,CPT,5400,WAS@LAL 11/29/2019 10:30PM ET,LAL,18.35
SG,Danny Green (13871531),Danny Green,13871531,UTIL,5200,WAS@LAL 11/29/2019 10:30PM ET,LAL,18.60
C,Dwight Howard (13871573),Dwight Howard,13871573,CPT,5100,WAS@LAL 11/29/2019 10:30PM ET,LAL,20.19
SF,Kyle Kuzma (13871532),Kyle Kuzma,13871532,UTIL,5000,WAS@LAL 11/29/2019 10:30PM ET,LAL,19.14
PF,Rui Hachimura (13871533),Rui Hachimura,13871533,UTIL,4800,WAS@LAL 11/29/2019 10:30PM ET,WAS,22.66
C,JaVale McGee (13871534),JaVale McGee,13871534,UTIL,4600,WAS@LAL 11/29/2019 10:30PM ET,LAL,18.42
PG,Isaiah Thomas (13871535),Isaiah Thomas,13871535,UTIL,4400,WAS@LAL 11/29/2019 10:30PM ET,WAS,23.14
SF,Troy Brown (13871536),Troy Brown,13871536,UTIL,4000,WAS@LAL 11/29/2019 10:30PM ET,WAS,17.77
SG,Troy Daniels (13871574),Troy Daniels,13871574,CPT,3900,WAS@LAL 11/29/2019 10:30PM ET,LAL,8.86
PG,Ish Smith (13871537),Ish Smith,13871537,UTIL,3800,WAS@LAL 11/29/2019 10:30PM ET,WAS,20.83
SG,Avery Bradley (13871538),Avery Bradley,13871538,UTIL,3600,WAS@LAL 11/29/2019 10:30PM ET,LAL,18.35
C,Dwight Howard (13871539),Dwight Howard,13871539,UTIL,3400,WAS@LAL 11/29/2019 10:30PM ET,LAL,20.19
SG,Troy Daniels (13871540),Troy Daniels,13871540,UTIL,2600,WAS@LAL 11/29/2019 10:30PM ET,LAL,8.86
SF,C.J. Miles (13871575),C.J. Miles,13871575,CPT,2100,WAS@LAL 11/29/2019 10:30PM ET,WAS,12.85
PG,Quinn Cook (13871576),Quinn Cook,13871576,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,LAL,10.2
C,Isaac Bonga (13871577),Isaac Bonga,13871577,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,10.04
PF,Jared Dudley (13871578),Jared Dudley,13871578,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,LAL,3.65
SG,Alex Caruso (13871579),Alex Caruso,13871579,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,LAL,12.69
PG,Chris Chiozza (13871580),Chris Chiozza,13871580,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,9.67
SF,Admiral Schofield (13871581),Admiral Schofield,13871581,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,5.92
PG,Justin Robinson (13871582),Justin Robinson,13871582,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,2.81
SG,Garrison Mathews (13871583),Garrison Mathews,13871583,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,1.88
SF,Kostas Antetokounmpo (13871584),Kostas Antetokounmpo,13871584,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,LAL,0.62
PG,Zach Norvell Jr. (13871585),Zach Norvell Jr.,13871585,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,LAL,0.62
C,Ian Mahinmi (13871586),Ian Mahinmi,13871586,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,0
PF,DeMarcus Cousins (13871587),DeMarcus Cousins,13871587,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,LAL,0
PG,John Wall (13871588),John Wall,13871588,CPT,1500,WAS@LAL 11/29/2019 10:30PM ET,WAS,0
