PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Kyrie Irving(13782183),Josh Okogie(13782538),Giannis Antetokounmpo(13782162),Nicolas Claxton(13782824),Tristan Thompson(13782352),Russell Westbrook(13782189),Jarrett Culver(13782495),Dwight Powell(13782482),50000.0,312.15
Luka Doncic(13782168),Justin Holiday(13782561),Giannis Antetokounmpo(13782162),Nassir Little(13782776),Jarrett Allen(13782439),Jarrett Culver(13782495),Montrezl Harrell(13782307),Marcus Morris(13782326),50000.0,325.01
Frank Ntilikina(13782566),Hamidou Diallo(13782703),Giannis Antetokounmpo(13782162),Maxi Kleber(13782553),LaMarcus Aldridge(13782242),Luka Doncic(13782168),Chandler Hutchison(13782713),Montrezl Harrell(13782307),50000.0,317.38
Damian Lillard(13782180),Josh Okogie(13782538),Giannis Antetokounmpo(13782162),Maxi Kleber(13782553),Montrezl Harrell(13782307),Russell Westbrook(13782189),Dorian Finney-Smith(13782639),Nassir Little(13782776),50000.0,319.33
James Harden(13782158),Josh Okogie(13782538),Giannis Antetokounmpo(13782162),Daniel Theis(13782606),Wendell Carter(13782313),Justin Holiday(13782561),Dorian Finney-Smith(13782639),Patrick Beverley(13782505),50000.0,311.44
Kyrie Irving(13782183),Justin Holiday(13782561),Giannis Antetokounmpo(13782162),Maxi Kleber(13782553),Rudy Gobert(13782192),Jarrett Culver(13782495),Nassir Little(13782776),Marcus Morris(13782326),50000.0,317.55
Kyrie Irving(13782183),Josh Okogie(13782538),Giannis Antetokounmpo(13782162),Marcus Morris(13782326),Montrezl Harrell(13782307),Jarrett Culver(13782495),P.J. Tucker(13782454),OG Anunoby(13782476),50000.0,316.22
Kyrie Irving(13782183),Justin Holiday(13782561),Giannis Antetokounmpo(13782162),Maxi Kleber(13782553),Marc Gasol(13782357),Jarrett Culver(13782495),Wendell Carter(13782313),Marcus Morris(13782326),50000.0,314.52
Dejounte Murray(13782406),Josh Okogie(13782538),Giannis Antetokounmpo(13782162),Chandler Hutchison(13782713),Tristan Thompson(13782352),Frank Ntilikina(13782566),Montrezl Harrell(13782307),Luka Doncic(13782168),50000.0,320.13
Luka Doncic(13782168),Patrick Beverley(13782505),Giannis Antetokounmpo(13782162),Maxi Kleber(13782553),Montrezl Harrell(13782307),Jarrett Culver(13782495),Dorian Finney-Smith(13782639),Marcus Morris(13782326),50000.0,326.47
