Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kyrie Irving (13784286),Kyrie Irving,13784286,CPT,15900,IND@BKN 11/18/2019 07:30PM ET,BKN,50.07
PF,Domantas Sabonis (13784287),Domantas Sabonis,13784287,CPT,14400,IND@BKN 11/18/2019 07:30PM ET,IND,43.66
PG,Malcolm Brogdon (13784288),Malcolm Brogdon,13784288,CPT,13200,IND@BKN 11/18/2019 07:30PM ET,IND,39.79
C,Myles Turner (13784289),Myles Turner,13784289,CPT,12600,IND@BKN 11/18/2019 07:30PM ET,IND,31.3
PG,Spencer Dinwiddie (13784290),Spencer Dinwiddie,13784290,CPT,11700,IND@BKN 11/18/2019 07:30PM ET,BKN,28.92
SG,Jeremy Lamb (13784291),Jeremy Lamb,13784291,CPT,11100,IND@BKN 11/18/2019 07:30PM ET,IND,33
C,DeAndre Jordan (13784292),DeAndre Jordan,13784292,CPT,10800,IND@BKN 11/18/2019 07:30PM ET,BKN,27.18
PG,Kyrie Irving (13784251),Kyrie Irving,13784251,UTIL,10600,IND@BKN 11/18/2019 07:30PM ET,BKN,50.07
PF,T.J. Warren (13784293),T.J. Warren,13784293,CPT,10500,IND@BKN 11/18/2019 07:30PM ET,IND,26.52
PG,Aaron Holiday (13784294),Aaron Holiday,13784294,CPT,10200,IND@BKN 11/18/2019 07:30PM ET,IND,18.84
SG,Joe Harris (13784295),Joe Harris,13784295,CPT,9900,IND@BKN 11/18/2019 07:30PM ET,BKN,23.98
PF,Domantas Sabonis (13784252),Domantas Sabonis,13784252,UTIL,9600,IND@BKN 11/18/2019 07:30PM ET,IND,43.66
SF,Taurean Prince (13784296),Taurean Prince,13784296,CPT,9300,IND@BKN 11/18/2019 07:30PM ET,BKN,26.5
PG,Malcolm Brogdon (13784253),Malcolm Brogdon,13784253,UTIL,8800,IND@BKN 11/18/2019 07:30PM ET,IND,39.79
SF,Caris LeVert (13784297),Caris LeVert,13784297,CPT,8700,IND@BKN 11/18/2019 07:30PM ET,BKN,29.58
C,Myles Turner (13784254),Myles Turner,13784254,UTIL,8400,IND@BKN 11/18/2019 07:30PM ET,IND,31.3
PG,Spencer Dinwiddie (13784255),Spencer Dinwiddie,13784255,UTIL,7800,IND@BKN 11/18/2019 07:30PM ET,BKN,28.92
C,Jarrett Allen (13784298),Jarrett Allen,13784298,CPT,7800,IND@BKN 11/18/2019 07:30PM ET,BKN,25.35
SG,Jeremy Lamb (13784256),Jeremy Lamb,13784256,UTIL,7400,IND@BKN 11/18/2019 07:30PM ET,IND,33
C,DeAndre Jordan (13784257),DeAndre Jordan,13784257,UTIL,7200,IND@BKN 11/18/2019 07:30PM ET,BKN,27.18
PF,T.J. Warren (13784258),T.J. Warren,13784258,UTIL,7000,IND@BKN 11/18/2019 07:30PM ET,IND,26.52
SG,Garrett Temple (13784299),Garrett Temple,13784299,CPT,6900,IND@BKN 11/18/2019 07:30PM ET,BKN,16.65
PG,Aaron Holiday (13784259),Aaron Holiday,13784259,UTIL,6800,IND@BKN 11/18/2019 07:30PM ET,IND,18.84
SG,Joe Harris (13784260),Joe Harris,13784260,UTIL,6600,IND@BKN 11/18/2019 07:30PM ET,BKN,23.98
SG,Justin Holiday (13784300),Justin Holiday,13784300,CPT,6600,IND@BKN 11/18/2019 07:30PM ET,IND,16.69
SF,Taurean Prince (13784261),Taurean Prince,13784261,UTIL,6200,IND@BKN 11/18/2019 07:30PM ET,BKN,26.5
SF,Doug McDermott (13784301),Doug McDermott,13784301,CPT,6000,IND@BKN 11/18/2019 07:30PM ET,IND,15.46
SF,Caris LeVert (13784262),Caris LeVert,13784262,UTIL,5800,IND@BKN 11/18/2019 07:30PM ET,BKN,29.58
SF,Dzanan Musa (13784302),Dzanan Musa,13784302,CPT,5400,IND@BKN 11/18/2019 07:30PM ET,BKN,10
C,Jarrett Allen (13784263),Jarrett Allen,13784263,UTIL,5200,IND@BKN 11/18/2019 07:30PM ET,BKN,25.35
PG,T.J. McConnell (13784303),T.J. McConnell,13784303,CPT,4800,IND@BKN 11/18/2019 07:30PM ET,IND,17.90
SG,Garrett Temple (13784264),Garrett Temple,13784264,UTIL,4600,IND@BKN 11/18/2019 07:30PM ET,BKN,16.65
C,Goga Bitadze (13784304),Goga Bitadze,13784304,CPT,4500,IND@BKN 11/18/2019 07:30PM ET,IND,17.19
SG,Justin Holiday (13784265),Justin Holiday,13784265,UTIL,4400,IND@BKN 11/18/2019 07:30PM ET,IND,16.69
SF,Jakarr Sampson (13784305),Jakarr Sampson,13784305,CPT,4200,IND@BKN 11/18/2019 07:30PM ET,IND,11.78
SF,Doug McDermott (13784266),Doug McDermott,13784266,UTIL,4000,IND@BKN 11/18/2019 07:30PM ET,IND,15.46
SG,Theo Pinson (13784306),Theo Pinson,13784306,CPT,3900,IND@BKN 11/18/2019 07:30PM ET,BKN,9.92
SF,Dzanan Musa (13784267),Dzanan Musa,13784267,UTIL,3600,IND@BKN 11/18/2019 07:30PM ET,BKN,10
PF,TJ Leaf (13784307),TJ Leaf,13784307,CPT,3600,IND@BKN 11/18/2019 07:30PM ET,IND,12.57
PG,Naz Mitrou-Long (13784308),Naz Mitrou-Long,13784308,CPT,3300,IND@BKN 11/18/2019 07:30PM ET,IND,6.62
PG,T.J. McConnell (13784268),T.J. McConnell,13784268,UTIL,3200,IND@BKN 11/18/2019 07:30PM ET,IND,17.90
C,Goga Bitadze (13784269),Goga Bitadze,13784269,UTIL,3000,IND@BKN 11/18/2019 07:30PM ET,IND,17.19
PF,Nicolas Claxton (13784309),Nicolas Claxton,13784309,CPT,3000,IND@BKN 11/18/2019 07:30PM ET,BKN,10.35
SF,Jakarr Sampson (13784270),Jakarr Sampson,13784270,UTIL,2800,IND@BKN 11/18/2019 07:30PM ET,IND,11.78
PF,Alize Johnson (13784310),Alize Johnson,13784310,CPT,2700,IND@BKN 11/18/2019 07:30PM ET,IND,5.81
SG,Theo Pinson (13784271),Theo Pinson,13784271,UTIL,2600,IND@BKN 11/18/2019 07:30PM ET,BKN,9.92
PF,TJ Leaf (13784272),TJ Leaf,13784272,UTIL,2400,IND@BKN 11/18/2019 07:30PM ET,IND,12.57
SG,Iman Shumpert (13784311),Iman Shumpert,13784311,CPT,2400,IND@BKN 11/18/2019 07:30PM ET,BKN,7.75
PG,Naz Mitrou-Long (13784273),Naz Mitrou-Long,13784273,UTIL,2200,IND@BKN 11/18/2019 07:30PM ET,IND,6.62
SG,David Nwaba (13784312),David Nwaba,13784312,CPT,2100,IND@BKN 11/18/2019 07:30PM ET,BKN,7.84
PF,Nicolas Claxton (13784274),Nicolas Claxton,13784274,UTIL,2000,IND@BKN 11/18/2019 07:30PM ET,BKN,10.35
PF,Alize Johnson (13784275),Alize Johnson,13784275,UTIL,1800,IND@BKN 11/18/2019 07:30PM ET,IND,5.81
PF,Rodions Kurucs (13784313),Rodions Kurucs,13784313,CPT,1800,IND@BKN 11/18/2019 07:30PM ET,BKN,6.19
SG,Iman Shumpert (13784276),Iman Shumpert,13784276,UTIL,1600,IND@BKN 11/18/2019 07:30PM ET,BKN,7.75
SF,Brian Bowen II (13784314),Brian Bowen II,13784314,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,IND,1.62
PG,Edmond Sumner (13784315),Edmond Sumner,13784315,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,IND,15.08
PF,Henry Ellenson (13784316),Henry Ellenson,13784316,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SG,Timothe Luwawu-Cabarrot (13784317),Timothe Luwawu-Cabarrot,13784317,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SF,Wilson Chandler (13784318),Wilson Chandler,13784318,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SF,Kevin Durant (13784319),Kevin Durant,13784319,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SG,Victor Oladipo (13784320),Victor Oladipo,13784320,CPT,1500,IND@BKN 11/18/2019 07:30PM ET,IND,0
SG,David Nwaba (13784277),David Nwaba,13784277,UTIL,1400,IND@BKN 11/18/2019 07:30PM ET,BKN,7.84
PF,Rodions Kurucs (13784278),Rodions Kurucs,13784278,UTIL,1200,IND@BKN 11/18/2019 07:30PM ET,BKN,6.19
SF,Brian Bowen II (13784279),Brian Bowen II,13784279,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,IND,1.62
PG,Edmond Sumner (13784280),Edmond Sumner,13784280,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,IND,15.08
PF,Henry Ellenson (13784281),Henry Ellenson,13784281,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SG,Timothe Luwawu-Cabarrot (13784282),Timothe Luwawu-Cabarrot,13784282,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SF,Wilson Chandler (13784283),Wilson Chandler,13784283,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SF,Kevin Durant (13784284),Kevin Durant,13784284,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,BKN,0
SG,Victor Oladipo (13784285),Victor Oladipo,13784285,UTIL,1000,IND@BKN 11/18/2019 07:30PM ET,IND,0
