Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (13782158),James Harden,13782158,PG/SG/G/UTIL,12000,POR@HOU 11/18/2019 08:00PM ET,HOU,62.64
SF/PF,Giannis Antetokounmpo (13782162),Giannis Antetokounmpo,13782162,SF/PF/F/UTIL,11300,MIL@CHI 11/18/2019 08:00PM ET,MIL,63.75
C,Karl-Anthony Towns (13782166),Karl-Anthony Towns,13782166,C/UTIL,10200,MIN@UTA 11/18/2019 09:00PM ET,MIN,54.98
PG/SG,Luka Doncic (13782168),Luka Doncic,13782168,PG/SG/G/UTIL,9800,SA@DAL 11/18/2019 08:30PM ET,DAL,59.75
SF/PF,Kawhi Leonard (13782172),Kawhi Leonard,13782172,SF/PF/F/UTIL,9300,OKC@LAC 11/18/2019 10:30PM ET,LAC,52.67
PF/C,Pascal Siakam (13782176),Pascal Siakam,13782176,PF/C/F/UTIL,9000,CHA@TOR 11/18/2019 07:30PM ET,TOR,45.92
PG,Damian Lillard (13782180),Damian Lillard,13782180,PG/G/UTIL,8600,POR@HOU 11/18/2019 08:00PM ET,POR,50.33
PG,Kyrie Irving (13782183),Kyrie Irving,13782183,PG/G/UTIL,8500,IND@BKN 11/18/2019 07:30PM ET,BKN,50.07
PG,Kemba Walker (13782186),Kemba Walker,13782186,PG/G/UTIL,8400,BOS@PHO 11/18/2019 09:00PM ET,BOS,41.25
PG,Russell Westbrook (13782189),Russell Westbrook,13782189,PG/G/UTIL,8300,POR@HOU 11/18/2019 08:00PM ET,HOU,45.16
C,Rudy Gobert (13782192),Rudy Gobert,13782192,C/UTIL,8200,MIN@UTA 11/18/2019 09:00PM ET,UTA,37.31
SF/PF,Paul George (13782194),Paul George,13782194,SF/PF/F/UTIL,8100,OKC@LAC 11/18/2019 10:30PM ET,LAC,51.62
PG/SG,Devin Booker (13782198),Devin Booker,13782198,PG/SG/G/UTIL,8000,BOS@PHO 11/18/2019 09:00PM ET,PHO,39.52
PG/SG,Donovan Mitchell (13782202),Donovan Mitchell,13782202,PG/SG/G/UTIL,7900,MIN@UTA 11/18/2019 09:00PM ET,UTA,41.88
PF/C,Kevin Love (13782211),Kevin Love,13782211,PF/C/F/UTIL,7800,CLE@NY 11/18/2019 07:00PM ET,CLE,40.94
SG/SF,Andrew Wiggins (13782206),Andrew Wiggins,13782206,SG/SF/F/G/UTIL,7800,MIN@UTA 11/18/2019 09:00PM ET,MIN,41.77
C,Clint Capela (13782220),Clint Capela,13782220,C/UTIL,7700,POR@HOU 11/18/2019 08:00PM ET,HOU,37.07
SG/SF,Jaylen Brown (13782215),Jaylen Brown,13782215,SG/SF/F/G/UTIL,7700,BOS@PHO 11/18/2019 09:00PM ET,BOS,35.33
SF/PF,Jayson Tatum (13782222),Jayson Tatum,13782222,SF/PF/F/UTIL,7600,BOS@PHO 11/18/2019 09:00PM ET,BOS,36.71
PF/C,Kristaps Porzingis (13782226),Kristaps Porzingis,13782226,PF/C/F/UTIL,7500,SA@DAL 11/18/2019 08:30PM ET,DAL,37.89
PG/SG,Fred VanVleet (13782230),Fred VanVleet,13782230,PG/SG/G/UTIL,7400,CHA@TOR 11/18/2019 07:30PM ET,TOR,38.19
PG/SG,Lou Williams (13782234),Lou Williams,13782234,PG/SG/G/UTIL,7400,OKC@LAC 11/18/2019 10:30PM ET,LAC,37.5
PF/C,Domantas Sabonis (13782238),Domantas Sabonis,13782238,PF/C/F/UTIL,7300,IND@BKN 11/18/2019 07:30PM ET,IND,43.66
PG/SG,CJ McCollum (13782246),CJ McCollum,13782246,PG/SG/G/UTIL,7300,POR@HOU 11/18/2019 08:00PM ET,POR,34.21
PF/C,LaMarcus Aldridge (13782242),LaMarcus Aldridge,13782242,PF/C/F/UTIL,7300,SA@DAL 11/18/2019 08:30PM ET,SA,34.54
PG,Eric Bledsoe (13782250),Eric Bledsoe,13782250,PG/G/UTIL,7200,MIL@CHI 11/18/2019 08:00PM ET,MIL,33.04
SG/SF,DeMar DeRozan (13782253),DeMar DeRozan,13782253,SG/SF/F/G/UTIL,7100,SA@DAL 11/18/2019 08:30PM ET,SA,34.67
PG,Ricky Rubio (13782258),Ricky Rubio,13782258,PG/G/UTIL,7000,BOS@PHO 11/18/2019 09:00PM ET,PHO,37.72
PG/SG,Devonte' Graham (13782265),Devonte' Graham,13782265,PG/SG/G/UTIL,6900,CHA@TOR 11/18/2019 07:30PM ET,CHA,36.38
PG/SG,Zach LaVine (13782261),Zach LaVine,13782261,PG/SG/G/UTIL,6900,MIL@CHI 11/18/2019 08:00PM ET,CHI,36.08
PG,Kyle Lowry (13782269),Kyle Lowry,13782269,PG/G/UTIL,6800,CHA@TOR 11/18/2019 07:30PM ET,TOR,39.94
C,Hassan Whiteside (13782272),Hassan Whiteside,13782272,C/UTIL,6700,POR@HOU 11/18/2019 08:00PM ET,POR,36.21
PF/C,Julius Randle (13782274),Julius Randle,13782274,PF/C/F/UTIL,6600,CLE@NY 11/18/2019 07:00PM ET,NY,34.06
PG,Chris Paul (13782278),Chris Paul,13782278,PG/G/UTIL,6600,OKC@LAC 11/18/2019 10:30PM ET,OKC,32.48
SF/PF,Danilo Gallinari (13782285),Danilo Gallinari,13782285,SF/PF/F/UTIL,6500,OKC@LAC 11/18/2019 10:30PM ET,OKC,30.23
PG/SG,Malcolm Brogdon (13782281),Malcolm Brogdon,13782281,PG/SG/G/UTIL,6500,IND@BKN 11/18/2019 07:30PM ET,IND,39.79
