Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (13784807),Karl-Anthony Towns,13784807,C/UTIL,10200,MIN@UTA 11/18/2019 09:00PM ET,MIN,54.98
SF/PF,Kawhi Leonard (13784672),Kawhi Leonard,13784672,SF/PF/F/UTIL,9300,OKC@LAC 11/18/2019 10:30PM ET,LAC,52.67
PG,Kemba Walker (13784653),Kemba Walker,13784653,PG/G/UTIL,8400,BOS@PHO 11/18/2019 09:00PM ET,BOS,41.25
C,Rudy Gobert (13784762),Rudy Gobert,13784762,C/UTIL,8200,MIN@UTA 11/18/2019 09:00PM ET,UTA,37.31
SF/PF,Paul George (13784656),Paul George,13784656,SF/PF/F/UTIL,8100,OKC@LAC 11/18/2019 10:30PM ET,LAC,51.62
PG/SG,Devin Booker (13784831),Devin Booker,13784831,PG/SG/G/UTIL,8000,BOS@PHO 11/18/2019 09:00PM ET,PHO,39.52
PG/SG,Donovan Mitchell (13784850),Donovan Mitchell,13784850,PG/SG/G/UTIL,7900,MIN@UTA 11/18/2019 09:00PM ET,UTA,41.88
SG/SF,Andrew Wiggins (13784791),Andrew Wiggins,13784791,SG/SF/F/G/UTIL,7800,MIN@UTA 11/18/2019 09:00PM ET,MIN,41.77
SG/SF,Jaylen Brown (13784856),Jaylen Brown,13784856,SG/SF/F/G/UTIL,7700,BOS@PHO 11/18/2019 09:00PM ET,BOS,35.33
SF/PF,Jayson Tatum (13784882),Jayson Tatum,13784882,SF/PF/F/UTIL,7600,BOS@PHO 11/18/2019 09:00PM ET,BOS,36.71
PG/SG,Lou Williams (13784617),Lou Williams,13784617,PG/SG/G/UTIL,7400,OKC@LAC 11/18/2019 10:30PM ET,LAC,37.5
PG,Ricky Rubio (13784664),Ricky Rubio,13784664,PG/G/UTIL,7000,BOS@PHO 11/18/2019 09:00PM ET,PHO,37.72
PG,Chris Paul (13784610),Chris Paul,13784610,PG/G/UTIL,6600,OKC@LAC 11/18/2019 10:30PM ET,OKC,32.48
SF/PF,Danilo Gallinari (13784641),Danilo Gallinari,13784641,SF/PF/F/UTIL,6500,OKC@LAC 11/18/2019 10:30PM ET,OKC,30.23
PG,Mike Conley (13784623),Mike Conley,13784623,PG/G/UTIL,6400,MIN@UTA 11/18/2019 09:00PM ET,UTA,25.77
PG/SG,Marcus Smart (13784740),Marcus Smart,13784740,PG/SG/G/UTIL,6400,BOS@PHO 11/18/2019 09:00PM ET,BOS,27.44
PG/SG,Shai Gilgeous-Alexander (13784943),Shai Gilgeous-Alexander,13784943,PG/SG/G/UTIL,6300,OKC@LAC 11/18/2019 10:30PM ET,OKC,34.58
PF/C,Montrezl Harrell (13784744),Montrezl Harrell,13784744,PF/C/F/UTIL,6200,OKC@LAC 11/18/2019 10:30PM ET,LAC,34.06
SF/PF,Kelly Oubre Jr. (13784813),Kelly Oubre Jr.,13784813,SF/PF/F/UTIL,6200,BOS@PHO 11/18/2019 09:00PM ET,PHO,29.5
SF/PF,Bojan Bogdanovic (13784708),Bojan Bogdanovic,13784708,SF/PF/F/UTIL,5800,MIN@UTA 11/18/2019 09:00PM ET,UTA,29.80
PG,Jeff Teague (13784630),Jeff Teague,13784630,PG/G/UTIL,5600,MIN@UTA 11/18/2019 09:00PM ET,MIN,29
SF/PF,Robert Covington (13784680),Robert Covington,13784680,SF/PF/F/UTIL,5500,MIN@UTA 11/18/2019 09:00PM ET,MIN,26.48
SF/PF,Dario Saric (13784803),Dario Saric,13784803,SF/PF/F/UTIL,5500,BOS@PHO 11/18/2019 09:00PM ET,PHO,24.91
PG/SG,Dennis Schroder (13784758),Dennis Schroder,13784758,PG/SG/G/UTIL,5200,OKC@LAC 11/18/2019 10:30PM ET,OKC,27.90
C,Steven Adams (13784738),Steven Adams,13784738,C/UTIL,5100,OKC@LAC 11/18/2019 10:30PM ET,OKC,25.25
C,Aron Baynes (13784621),Aron Baynes,13784621,C/UTIL,5100,BOS@PHO 11/18/2019 09:00PM ET,PHO,29.07
SF/PF,Jake Layman (13784748),Jake Layman,13784748,SF/PF/F/UTIL,5000,MIN@UTA 11/18/2019 09:00PM ET,MIN,19.23
PF/C,Frank Kaminsky (13784715),Frank Kaminsky,13784715,PF/C/F/UTIL,4800,BOS@PHO 11/18/2019 09:00PM ET,PHO,22.82
