Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (13784412),James Harden,13784412,PG/SG/G/UTIL,12000,POR@HOU 11/18/2019 08:00PM ET,HOU,62.64
SF/PF,Giannis Antetokounmpo (13784496),Giannis Antetokounmpo,13784496,SF/PF/F/UTIL,11300,MIL@CHI 11/18/2019 08:00PM ET,MIL,63.75
PG,Damian Lillard (13784426),Damian Lillard,13784426,PG/G/UTIL,8600,POR@HOU 11/18/2019 08:00PM ET,POR,50.33
PG,Russell Westbrook (13784405),Russell Westbrook,13784405,PG/G/UTIL,8300,POR@HOU 11/18/2019 08:00PM ET,HOU,45.16
C,Clint Capela (13784528),Clint Capela,13784528,C/UTIL,7700,POR@HOU 11/18/2019 08:00PM ET,HOU,37.07
PG/SG,CJ McCollum (13784439),CJ McCollum,13784439,PG/SG/G/UTIL,7300,POR@HOU 11/18/2019 08:00PM ET,POR,34.21
PG,Eric Bledsoe (13784429),Eric Bledsoe,13784429,PG/G/UTIL,7200,MIL@CHI 11/18/2019 08:00PM ET,MIL,33.04
PG/SG,Zach LaVine (13784505),Zach LaVine,13784505,PG/SG/G/UTIL,6900,MIL@CHI 11/18/2019 08:00PM ET,CHI,36.08
C,Hassan Whiteside (13784437),Hassan Whiteside,13784437,C/UTIL,6700,POR@HOU 11/18/2019 08:00PM ET,POR,36.21
PF/C,Wendell Carter Jr. (13784582),Wendell Carter Jr.,13784582,PF/C/F/UTIL,6000,MIL@CHI 11/18/2019 08:00PM ET,CHI,29.67
PF/C,Lauri Markkanen (13784567),Lauri Markkanen,13784567,PF/C/F/UTIL,5900,MIL@CHI 11/18/2019 08:00PM ET,CHI,29.96
C,Brook Lopez (13784408),Brook Lopez,13784408,C/UTIL,5400,MIL@CHI 11/18/2019 08:00PM ET,MIL,24.77
PG/SG,Coby White (13784598),Coby White,13784598,PG/SG/G/UTIL,5300,MIL@CHI 11/18/2019 08:00PM ET,CHI,23.42
SF/PF,Otto Porter Jr. (13784462),Otto Porter Jr.,13784462,SF/PF/F/UTIL,5100,MIL@CHI 11/18/2019 08:00PM ET,CHI,21.03
SG/SF,Ben McLemore (13784457),Ben McLemore,13784457,SG/SF/F/G/UTIL,4900,POR@HOU 11/18/2019 08:00PM ET,HOU,12.44
PG/SG,Tomas Satoransky (13784466),Tomas Satoransky,13784466,PG/SG/G/UTIL,4900,MIL@CHI 11/18/2019 08:00PM ET,CHI,22.54
SF/PF,P.J. Tucker (13784367),P.J. Tucker,13784367,SF/PF/F/UTIL,4800,POR@HOU 11/18/2019 08:00PM ET,HOU,24.69
PG/SG,Austin Rivers (13784443),Austin Rivers,13784443,PG/SG/G/UTIL,4800,POR@HOU 11/18/2019 08:00PM ET,HOU,14.67
SG/SF,Rodney Hood (13784452),Rodney Hood,13784452,SG/SF/F/G/UTIL,4700,POR@HOU 11/18/2019 08:00PM ET,POR,20.75
PG/SG,Anfernee Simons (13784588),Anfernee Simons,13784588,PG/SG/G/UTIL,4300,POR@HOU 11/18/2019 08:00PM ET,POR,17.25
PG/SG,Kris Dunn (13784487),Kris Dunn,13784487,PG/SG/G/UTIL,4300,MIL@CHI 11/18/2019 08:00PM ET,CHI,19.08
PG,Chris Clemons (13784557),Chris Clemons,13784557,PG/G/UTIL,4200,POR@HOU 11/18/2019 08:00PM ET,HOU,8.54
SF/PF,Thaddeus Young (13784397),Thaddeus Young,13784397,SF/PF/F/UTIL,4100,MIL@CHI 11/18/2019 08:00PM ET,CHI,19.62
C,Tyson Chandler (13784356),Tyson Chandler,13784356,C/UTIL,4000,POR@HOU 11/18/2019 08:00PM ET,HOU,8.31
